fecha,equipo1,equipo2,goles1,goles2,corners1,corners2,amarillas1,amarillas2
2026-06-10,Portugal,Nigeria,2,1,3.0,2.0,2.0,2.0
2026-06-10,Inglaterra,Costa Rica,3,0,11.0,1.0,0.0,4.0
2026-06-09,China,Tailandia,0,0,11.0,1.0,1.0,1.0
2026-06-09,Indonesia,Mozambique,1,0,,,,
2026-06-09,Kirguistán,Palestina,0,0,,,,
2026-06-09,Armenia,Moldavia,1,1,,,,
2026-06-09,Tayikistán,India,1,1,,,,
2026-06-09,RD Congo,Chile,1,2,7.0,2.0,1.0,3.0
2026-06-09,Bielorrusia,Burkina Faso,2,2,,,,
2026-06-09,Rusia,Trinidad y Tobago,3,0,10.0,2.0,1.0,2.0
2026-06-09,Hungría,Kazajistán,3,1,3.0,5.0,2.0,7.0
2026-06-09,San Marino,Azerbaiyán,1,2,,,,
2026-06-09,Senegal,Arabia Saudita,0,0,3.0,1.0,3.0,3.0
2026-06-09,Iraq,Venezuela,0,2,,,,
2026-06-09,Argentina,Islandia,3,0,2.0,2.0,2.0,6.0
2026-06-08,España,Perú,3,1,6.0,4.0,0.0,1.0
2026-06-08,Países Bajos,Uzbekistán,2,1,3.0,3.0,1.0,1.0
2026-06-08,Francia,Irlanda del Norte,3,1,5.0,1.0,,
2026-06-07,Liechtenstein,Chipre,0,2,1.0,10.0,0.0,2.0
2026-06-07,Omán,Mozambique,4,1,,,,
2026-06-07,Kosovo,Andorra,3,0,,,,
2026-06-07,Croacia,Eslovenia,2,1,8.0,4.0,,
2026-06-07,Marruecos,Noruega,1,1,3.0,11.0,1.0,1.0
2026-06-07,Grecia,Italia,0,1,2.0,3.0,0.0,3.0
2026-06-07,Ecuador,Guatemala,3,0,6.0,0.0,3.0,1.0
2026-06-07,Colombia,Jordania,2,0,3.0,1.0,0.0,2.0
2026-06-06,Portugal,Chile,2,1,9.0,3.0,,
2026-06-06,Albania,Luxemburgo,0,1,,,,
2026-06-06,USA,Alemania,1,2,10.0,2.0,1.0,3.0
2026-06-06,Panamá,Bosnia,1,1,,,,
2026-06-06,Suiza,Australia,1,1,7.0,2.0,3.0,2.0
2026-06-06,Catar,El Salvador,0,0,3.0,4.0,1.0,1.0
2026-06-06,Bolivia,Escocia,0,4,3.0,6.0,3.0,1.0
2026-06-06,Inglaterra,Nueva Zelanda,1,0,8.0,1.0,,
2026-06-06,Jamaica,Sudáfrica,1,1,,,,
2026-06-06,Venezuela,Turquía,1,2,2.0,12.0,2.0,1.0
2026-06-06,Brasil,Egipto,2,1,5.0,3.0,1.0,1.0
2026-06-06,Argentina,Honduras,2,0,6.0,1.0,4.0,1.0
2026-06-06,Bélgica,Túnez,5,0,14.0,0.0,1.0,2.0
2026-06-06,Armenia,Kazajistán,1,1,,,,
2026-06-06,Kirguistán,Palestina,0,0,,,,
2026-06-05,Indonesia,Omán,3,0,,,,
2026-06-05,Tayikistán,India,3,1,,,,
2026-06-05,Georgia,Baréin,2,0,,,,
2026-06-05,Eslovaquia,Montenegro,2,2,,,,
2026-06-05,Moldavia,Bulgaria,2,2,,,,
2026-06-05,Rusia,Burkina Faso,3,0,5.0,6.0,0.0,3.0
2026-06-05,Hungría,Finlandia,2,1,3.0,8.0,3.0,1.0
2026-06-05,Benín,Nigeria,1,1,,,,
2026-06-05,Azerbaiyán,Malta,0,2,,,,
2026-06-05,Canadá,Irlanda,1,1,12.0,4.0,2.0,1.0
2026-06-05,Haití,Perú,1,2,3.0,3.0,1.0,4.0
2026-06-04,Irlanda del Norte,Guinea,1,0,1.0,9.0,1.0,1.0
2026-06-04,Eslovenia,Chipre,1,1,,,,
2026-06-04,Irán,Mali,2,0,,,,
2026-06-04,Andorra,Liechtenstein,2,0,6.0,2.0,2.0,1.0
2026-06-04,Suecia,Grecia,2,2,1.0,4.0,0.0,2.0
2026-06-04,España,Iraq,1,1,5.0,3.0,2.0,2.0
2026-06-04,Francia,Costa de Marfil,1,2,8.0,2.0,0.0,1.0
2026-06-04,República Checa,Guatemala,3,1,,,,
2026-06-04,México,Serbia,5,1,6.0,1.0,2.0,2.0
2026-06-03,Albania,Israel,0,1,7.0,2.0,1.0,1.0
