Partido_id,Fase,Fecha,Equipo1,Es_Local_E1,Equipo2,EQUIPO1_GOLES,EQUIPO2_GOLES,Goles_dentro_area_E1,Goles_Fuera_Area_E1,Disparos_totales_E1,Disparos_a_puerta_E1,Disparos_fuera_E1,Disparo_Bloqueados_E1,Disparos_Al palo_E1,Disparos_Larguero_E1,Disparos_Poste_E1,Disparos_a_puerta_fuera_del_area_E1,Disparos_fuera_desde_fuera_del_area_E1,Asistencias_E1,Penaltis_marcados_E1,Penaltis_fallados_E1,Penaltis_forzados_E1,Ataques_E1,Oportunidades_claras_E1,Saques_de_esquina_sacados_E1,Fueras_de_juego_E1,Regates_E1,Ataques_tercio_ofensivo_E1,Ataques_zonas_clave_E1,Carreras_hacia_el_area_E1,Posesion_E1,Precision_pase_E1,Pases_completados_E1,Pases_realizados_E1,Pases_cortos_completados_E1,Pases_media_distancia_completados_E1,Pases_en_largo_completados_E1,Pases_completados_atras_E1,Pases_completadosa_izquierda_E1,Pases_completados_derecha_E1,Libres_directos_sacados_E1,Centros__tercio_ofensivo_E1,Pases_zonas_clave_E1,Pases_al_area_E1,Precision_en_el_centro_E1,Centros_completados_E1,Centros_realizados_E1,Tiempo_de_posesion_E1,Balones_recuperados_E1,Bloqueos_E1,Penaltis_cometidos_E1,Entradas_E1,Entradas_con_exito_E1,Entradas_perdidas_E1,Despejes_completados_E1,Despejes_realizados_E1,goles_encajados_E1,Goles_encajados_propia_puerta_E1,Porterias_a_cero_E1,Paradas_E1,Paradas_en_libres_directo_E1,Paradas-tras_libre_indirecto_E1,Penaltis_parados_E1,Balones_blocados_E1,Balones_blocados_por arriba_E1,Balones_blocados_por_abajo_E1,Despejes_de_puños_E1,Tarjetas_amarillas_E1,Tarjetas_rojas_E1,Faltas_cometidas_E1,Faltas_cometidas_tercio_def_E1,Faltas_cometidas_en_campo_propio_E1,Goles_dentro_area_E2,Goles_Fuera_Area_E2,Disparos_totales_E2,Disparos_a_puerta_E2,Disparos_fuera_E2,Disparo_Bloqueados_E2,Disparos_Al palo_E2,Disparos_Larguero_E2,Disparos_Poste_E2,Disparos_a_puerta_fuera_del_area_E2,Disparos_fuera_desde_fuera_del_area_E2,Asistencias_E2,Penaltis_marcados_E2,Penaltis_fallados_E2,Penaltis_forzados_E2,Ataques_E2,Oportunidades_claras_E2,Saques_de_esquina_sacados_E2,Fueras_de_juego_E2,Regates_E2,Ataques_tercio_ofensivo_E2,Ataques_zonas_clave_E2,Carreras_hacia_el_area_E2,Posesion_E2,Precision_pase_E2,Pases_completados_E2,Pases_realizados_E2,Pases_cortos_completados_E2,Pases_media_distancia_completados_E2,Pases_en_largo_completados_E2,Pases_completados_atras_E2,Pases_completadosa_izquierda_E2,Pases_completados_derecha_E2,Libres_directos_sacados_E2,Centros__tercio_ofensivo_E2,Pases_zonas_clave_E2,Pases_al_area_E2,Precision_en_el_centro_E2,Centros_completados_E2,Centros_realizados_E2,Tiempo_de_posesion_E2,Balones_recuperados_E2,Bloqueos_E2,Penaltis_cometidos_E2,Entradas_E2,Entradas_con_exito_E2,Entradas_perdidas_E2,Despejes_completados_E2,Despejes_realizados_E2,goles_encajados_E2,Goles_encajados_propia_puerta_E2,Porterias_a_cero_E2,Paradas_E2,Paradas_en_libres_directo_E2,Paradas-tras_libre_indirecto_E2,Penaltis_parados_E2,Balones_blocados_E2,Balones_blocados_por arriba_E2,Balones_blocados_por_abajo_E2,Despejes_de_puños_E2,Tarjetas_amarillas_E2,Tarjetas_rojas_E2,Faltas_cometidas_E2,Faltas_cometidas_tercio_def_E2,Faltas_cometidas_en_campo_propio_E2,media11_titular_E1,media11_titular_E2,Formacion_E1,Formacion_E2,Formacion_Def_E1,Formacion_Def_E2,GK_Rating_E1,GK_Rating_E2,GK_Saves_E1,GK_Saves_E2,GK_GoalsPrevented_E1,GK_GoalsPrevented_E2,Def_Avg_Rating_E1,Def_Avg_Rating_E2,Def_Avg_Tackles_E1,Def_Avg_Tackles_E2,Def_Avg_Clearances_E1,Def_Avg_Clearances_E2,Mid_Avg_Rating_E1,Mid_Avg_Rating_E2,Mid_Avg_KeyPasses_E1,Mid_Avg_KeyPasses_E2,Mid_Avg_Recovery_E1,Mid_Avg_Recovery_E2,Fwd_Avg_Rating_E1,Fwd_Avg_Rating_E2,Fwd_Avg_Shots_E1,Fwd_Avg_Shots_E2,Fwd_Avg_Goals_E1,Fwd_Avg_Goals_E2,Top1_Rating_E1,Top1_Rating_E2,Top2_Rating_E1,Top2_Rating_E2,Top3_Rating_E1,Top3_Rating_E2,Rating_Std_E1,Rating_Std_E2
PL-2025-26-14025013,Jornada 1,2025-08-15,Liverpool,1,Bournemouth,4,2,4.0,0.0,19,10,7,2,0,,,2.0,2.0,,,,,,3.0,6,2.0,8,61,,36,61,82.0,401,489,,,29,,,,10,,,,29.4,5,17,,4,,,16,13,3,,41,2,0.0,0,1.0,,,,,1.0,,2.0,1.0,,7,,,1.0,1.0,10,3,4,3,0,,,0.0,1.0,,,,,,3.0,7,2.0,8,45,,28,39,69.9,209,299,,,24,,,,7,,,,25.0,5,20,,11,,,20,12,8,,45,4,0.0,0,6.0,,,,,2.0,,1.0,2.0,,10,,,7.22,6.62,4-2-3-1,4-1-4-1,4.0,4.0,6.2,7.4,1.0,6.0,-1.185,-0.954,6.925,6.0,0.75,2.0,7.5,6.75,7.5,7.06,2.2,0.8,5.6,5.2,8.0,6.1,4.0,3.0,1.0,0.0,8.7,8.7,8.4,7.4,8.0,6.7,0.791,0.791
PL-2025-26-14025016,Jornada 1,2025-08-16,Aston Villa,1,Newcastle,0,0,0.0,0.0,3,3,0,0,0,,,0.0,0.0,,,,,,1.0,3,2.0,9,46,,14,40,73.2,227,310,,,17,,,,11,,,,27.3,3,11,,10,,,11,5,6,,20,0,0.0,1,3.0,,,,,3.0,,1.0,1.0,1.0,13,,,0.0,0.0,16,3,6,7,0,,,2.0,6.0,,,,,,2.0,6,1.0,2,55,,33,60,83.4,376,451,,,21,,,,13,,,,23.1,6,26,,12,,,10,8,2,,22,0,0.0,1,3.0,,,,,3.0,,0.0,1.0,0.0,11,,,6.92,7.03,4-2-3-1,4-3-3,4.0,4.0,6.9,7.6,3.0,3.0,0.644,0.204,6.95,7.3,1.0,1.0,3.0,4.5,6.94,6.767,0.4,1.0,5.4,5.0,6.7,6.733,1.0,4.0,0.0,0.0,7.7,7.9,7.6,7.6,7.3,7.2,0.413,0.455
PL-2025-26-14025020,Jornada 1,2025-08-16,Brighton,1,Fulham,1,1,1.0,0.0,10,4,5,1,0,,,2.0,2.0,,,,,,2.0,4,3.0,4,47,,25,50,87.6,374,427,,,28,,,,14,,,,36.4,4,11,,9,,,19,9,10,,27,1,0.0,0,1.0,,,,,1.0,,,3.0,,16,,,1.0,0.0,7,2,4,1,0,,,0.0,2.0,,,,,,1.0,3,2.0,5,49,,19,50,82.5,349,423,,,29,,,,16,,,,21.4,3,14,,2,,,15,8,7,,15,1,0.0,0,3.0,,,,,2.0,,,3.0,,15,,,6.99,6.63,4-2-3-1,4-2-3-1,4.0,4.0,6.3,6.9,1.0,3.0,-0.269,0.021,7.275,6.875,2.25,2.25,5.75,2.75,6.917,6.56,0.667,1.0,2.667,2.4,,5.7,,2.0,,0.0,8.2,7.4,7.4,7.2,7.3,7.0,0.54,0.473
PL-2025-26-14025038,Jornada 1,2025-08-16,Sunderland,1,West Ham,3,0,3.0,0.0,10,5,4,1,0,,,0.0,1.0,,,,,,2.0,5,,1,48,,15,37,77.4,250,323,,,18,,,,10,,,,29.4,5,17,,9,,,14,5,9,,32,0,0.0,1,4.0,,,,,1.0,,3.0,0.0,,8,,,0.0,0.0,12,4,2,6,0,,,0.0,5.0,,,,,,0.0,7,,7,78,,28,63,85.1,468,550,,,26,,,,8,,,,19.2,5,26,,4,,,12,7,5,,16,3,0.0,0,2.0,,,,,1.0,,1.0,1.0,,10,,,7.12,6.51,4-3-3,3-4-1-2,4.0,3.0,7.1,6.1,4.0,2.0,0.368,-1.359,7.675,6.6,1.75,1.4,4.75,2.8,6.62,6.75,0.8,0.25,2.0,4.25,7.4,5.5,2.0,2.0,1.0,0.0,9.3,7.1,7.4,6.9,7.3,6.7,0.759,0.408
PL-2025-26-14025047,Jornada 1,2025-08-16,Tottenham,1,Burnley,3,0,3.0,0.0,16,6,9,1,0,,,0.0,4.0,,,,,,2.0,6,0.0,11,58,,26,67,88.3,451,511,,,20,,,,8,,,,29.6,8,27,,1,,,12,9,3,,26,0,0.0,1,4.0,,,,,0.0,,1.0,,,14,,,0.0,0.0,14,4,7,3,0,,,2.0,5.0,,,,,,0.0,5,4.0,7,34,,25,33,73.6,181,246,,,18,,,,14,,,,21.4,3,14,,7,,,6,2,4,,25,3,0.0,0,3.0,,,,,3.0,,0.0,,,8,,,7.65,6.39,4-3-3,5-4-1,4.0,5.0,8.0,6.5,4.0,3.0,1.069,-0.393,7.2,6.04,0.75,0.2,3.0,3.6,7.55,6.7,1.5,2.0,3.25,3.0,8.6,6.8,3.5,2.0,1.5,0.0,9.5,7.0,8.8,6.8,8.0,6.8,0.822,0.368
PL-2025-26-14025050,Jornada 1,2025-08-16,Wolves,1,Man City,0,4,0.0,0.0,9,3,3,3,0,,,0.0,3.0,,,,,,0.0,4,4.0,5,46,,19,42,82.7,326,394,,,24,,,,7,,,,20.0,4,20,,6,,,25,17,8,,20,4,0.0,0,0.0,,,,,1.0,,0.0,1.0,,13,,,3.0,1.0,15,4,7,4,0,,,0.0,6.0,,,,,,3.0,5,0.0,14,48,,28,58,90.6,510,563,,,13,,,,13,,,,30.0,6,20,,7,,,18,11,7,,22,0,0.0,1,3.0,,,,,1.0,,1.0,2.0,,7,,,6.32,7.5,3-4-3,4-3-3,3.0,4.0,5.8,7.4,0.0,3.0,-1.732,0.736,6.06,7.55,2.0,1.75,2.8,3.25,6.7,7.28,0.5,1.6,3.5,2.8,6.6,8.5,4.0,6.0,0.0,2.0,6.9,8.5,6.7,7.8,6.6,7.7,0.428,0.497
PL-2025-26-14025053,Jornada 1,2025-08-17,Chelsea,1,Crystal Palace,0,0,0.0,0.0,19,3,7,9,0,,,0.0,8.0,,,,,,2.0,11,,12,62,,31,72,89.8,510,568,,,21,,,,12,,,,20.7,6,29,,11,,,13,6,7,,19,0,0.0,1,4.0,,,,,,,1.0,2.0,,10,,,0.0,0.0,11,4,3,4,0,,,3.0,4.0,,,,,,1.0,2,,5,28,,8,28,74.3,168,226,,,18,,,,10,,,,,0,11,,7,,,16,13,3,,41,0,0.0,1,2.0,,,,,,,0.0,3.0,,12,,,7.06,7.02,4-2-3-1,3-4-2-1,4.0,3.0,6.8,7.4,4.0,2.0,0.261,0.654,7.475,7.267,1.25,2.0,3.5,5.333,7.02,6.92,1.2,0.4,2.0,3.8,5.9,6.7,2.0,1.5,0.0,0.0,7.8,7.4,7.7,7.4,7.5,7.4,0.536,0.31
PL-2025-26-14025028,Jornada 1,2025-08-17,Nottm Forest,1,Brentford,3,1,3.0,0.0,11,5,4,2,0,,,2.0,3.0,,,,,,4.0,5,2.0,9,64,,25,54,82.3,343,417,,,18,,,,15,,,,20.8,5,24,,9,,,12,7,5,,24,1,0.0,0,2.0,,,,,2.0,,0.0,1.0,,7,,,1.0,0.0,10,3,4,3,0,,,1.0,2.0,,,,,,1.0,5,0.0,7,47,,19,46,78.3,271,346,,,14,,,,6,,,,18.8,3,16,,5,,,20,6,14,,27,3,0.0,0,2.0,,,,,0.0,,3.0,2.0,,15,,,7.16,6.26,4-2-3-1,4-2-3-1,4.0,4.0,6.6,6.1,2.0,2.0,0.47,-0.568,6.925,6.12,1.5,1.4,4.0,3.8,7.06,6.4,1.2,1.0,3.4,4.0,9.2,6.5,2.0,1.5,2.0,0.5,9.2,6.8,7.5,6.7,7.4,6.5,0.716,0.331
PL-2025-26-14025056,Jornada 1,2025-08-17,Man United,1,Arsenal,0,1,0.0,0.0,22,7,7,8,1,,,2.0,5.0,,,,,,0.0,3,1.0,9,54,,36,61,82.7,393,475,,,41,,,,19,,,,20.0,3,15,,4,,,22,11,11,,23,1,0.0,0,2.0,,,,,1.0,,0.0,1.0,,10,,,1.0,0.0,9,3,3,3,0,,,1.0,3.0,,,,,,1.0,4,2.0,9,35,,20,39,74.5,219,294,,,20,,,,10,,,,18.2,2,11,,4,,,18,10,8,,30,0,0.0,1,7.0,,,,,2.0,,1.0,4.0,,19,,,7.0,7.11,3-4-2-1,4-3-3,3.0,4.0,6.4,8.1,2.0,7.0,0.213,0.749,7.0,7.45,1.75,2.0,4.0,4.25,7.3,7.1,2.0,0.333,3.333,5.0,6.9,6.333,3.667,0.667,0.0,0.0,7.8,8.1,7.4,8.1,7.3,7.6,0.359,0.656
PL-2025-26-14025059,Jornada 1,2025-08-18,Leeds,1,Everton,1,0,1.0,0.0,21,3,7,11,0,,,1.0,8.0,,,,,,3.0,7,1.0,6,57,,28,54,83.4,401,481,,,25,,,,7,,,,26.9,7,26,,9,,,15,7,8,,30,0,0.0,1,1.0,,,,,1.0,,2.0,0.0,,6,,,0.0,0.0,7,1,3,3,0,,,0.0,2.0,,,,,,1.0,2,2.0,6,48,,14,46,78.8,324,411,,,18,,,,6,,,,36.4,4,11,,2,,,16,12,4,,31,1,0.0,0,2.0,,,,,1.0,,1.0,2.0,,8,,,6.85,6.64,4-3-3,4-2-3-1,4.0,4.0,6.6,6.7,1.0,2.0,0.105,0.071,7.175,6.667,0.75,1.333,5.0,6.333,6.825,6.633,1.75,0.5,2.75,3.333,6.4,6.5,3.0,1.0,0.0,0.0,7.5,7.2,7.3,7.2,7.1,6.8,0.394,0.323
PL-2025-26-14025088,Jornada 2,2025-08-22,West Ham,1,Chelsea,1,5,0.0,1.0,12,4,5,3,0,,,1.0,1.0,,,,,,1.0,7,4.0,5,43,,19,41,86.5,339,392,,,15,,,,10,,,,43.8,7,16,,7,,,11,6,5,,29,5,0.0,0,2.0,,,,,1.0,,,0.0,,7,,,5.0,0.0,12,7,4,1,0,,,0.0,2.0,,,,,,7.0,5,2.0,4,63,,26,59,87.5,505,577,,,17,,,,7,,,,20.0,3,15,,4,,,19,13,6,,17,1,0.0,0,3.0,,,,,1.0,,,1.0,,10,,,6.45,7.37,3-4-1-2,4-2-3-1,3.0,4.0,6.0,6.6,2.0,3.0,0.139,-0.673,5.96,7.1,0.4,2.0,4.8,3.25,7.2,7.4,1.5,0.75,2.75,2.0,6.3,8.25,0.0,2.0,0.0,0.5,8.3,9.7,7.5,8.4,6.9,7.6,0.827,0.913
PL-2025-26-14025083,Jornada 2,2025-08-23,Man City,1,Tottenham,0,2,0.0,0.0,10,4,3,3,0,,,2.0,2.0,,,,,,2.0,7,0.0,7,47,,34,61,86.9,456,525,,,15,,,,12,,,,26.3,5,19,,6,,,20,10,10,,23,2,0.0,0,3.0,,,,,,,0.0,1.0,,7,,,2.0,0.0,12,5,5,2,0,,,0.0,2.0,,,,,,3.0,2,1.0,8,50,,26,39,78.2,259,331,,,20,,,,7,,,,36.4,4,11,,7,,,24,16,8,,25,0,0.0,1,4.0,,,,,,,1.0,4.0,,12,,,6.63,7.15,4-1-4-1,4-3-3,4.0,4.0,6.3,7.4,3.0,4.0,0.082,0.639,6.375,7.0,1.0,1.75,3.25,3.5,7.025,7.075,0.75,0.5,2.75,5.0,6.5,7.5,2.0,2.5,0.0,0.5,7.2,8.4,7.2,7.7,7.0,7.4,0.344,0.552
PL-2025-26-14025062,Jornada 2,2025-08-23,Bournemouth,1,Wolves,1,0,1.0,0.0,14,4,5,5,1,,,2.0,4.0,,,,,,2.0,8,2.0,10,70,,30,59,86.6,387,447,,,23,,,,16,,,,15.0,3,20,,6,,,12,9,3,,32,0,0.0,1,1.0,,,,,1.0,,1.0,2.0,0.0,13,,,0.0,0.0,6,1,3,2,0,,,0.0,2.0,,,,,,0.0,3,2.0,5,61,,14,41,73.3,225,307,,,29,,,,13,,,,29.4,5,17,,9,,,21,14,7,,30,1,0.0,0,3.0,,,,,2.0,,1.0,4.0,1.0,16,,,7.06,6.69,4-1-4-1,3-4-3,4.0,3.0,6.9,6.9,1.0,3.0,0.237,-0.07,7.125,6.74,1.0,1.2,6.0,3.6,7.1,6.725,1.0,0.0,2.6,2.5,6.8,6.1,0.0,1.0,0.0,0.0,8.0,8.1,7.8,7.0,7.3,6.9,0.51,0.629
