Partido_id,Fase,Fecha,Equipo1,Es_Local_E1,Equipo2,EQUIPO1_GOLES,EQUIPO2_GOLES,Goles_dentro_area_E1,Goles_Fuera_Area_E1,Disparos_totales_E1,Disparos_a_puerta_E1,Disparos_fuera_E1,Disparo_Bloqueados_E1,Disparos_Al palo_E1,Disparos_Larguero_E1,Disparos_Poste_E1,Disparos_a_puerta_fuera_del_area_E1,Disparos_fuera_desde_fuera_del_area_E1,Asistencias_E1,Penaltis_marcados_E1,Penaltis_fallados_E1,Penaltis_forzados_E1,Ataques_E1,Oportunidades_claras_E1,Saques_de_esquina_sacados_E1,Fueras_de_juego_E1,Regates_E1,Ataques_tercio_ofensivo_E1,Ataques_zonas_clave_E1,Carreras_hacia_el_area_E1,Posesion_E1,Precision_pase_E1,Pases_completados_E1,Pases_realizados_E1,Pases_cortos_completados_E1,Pases_media_distancia_completados_E1,Pases_en_largo_completados_E1,Pases_completados_atras_E1,Pases_completadosa_izquierda_E1,Pases_completados_derecha_E1,Libres_directos_sacados_E1,Centros__tercio_ofensivo_E1,Pases_zonas_clave_E1,Pases_al_area_E1,Precision_en_el_centro_E1,Centros_completados_E1,Centros_realizados_E1,Tiempo_de_posesion_E1,Balones_recuperados_E1,Bloqueos_E1,Penaltis_cometidos_E1,Entradas_E1,Entradas_con_exito_E1,Entradas_perdidas_E1,Despejes_completados_E1,Despejes_realizados_E1,goles_encajados_E1,Goles_encajados_propia_puerta_E1,Porterias_a_cero_E1,Paradas_E1,Paradas_en_libres_directo_E1,Paradas-tras_libre_indirecto_E1,Penaltis_parados_E1,Balones_blocados_E1,Balones_blocados_por arriba_E1,Balones_blocados_por_abajo_E1,Despejes_de_puños_E1,Tarjetas_amarillas_E1,Tarjetas_rojas_E1,Faltas_cometidas_E1,Faltas_cometidas_tercio_def_E1,Faltas_cometidas_en_campo_propio_E1,Goles_dentro_area_E2,Goles_Fuera_Area_E2,Disparos_totales_E2,Disparos_a_puerta_E2,Disparos_fuera_E2,Disparo_Bloqueados_E2,Disparos_Al palo_E2,Disparos_Larguero_E2,Disparos_Poste_E2,Disparos_a_puerta_fuera_del_area_E2,Disparos_fuera_desde_fuera_del_area_E2,Asistencias_E2,Penaltis_marcados_E2,Penaltis_fallados_E2,Penaltis_forzados_E2,Ataques_E2,Oportunidades_claras_E2,Saques_de_esquina_sacados_E2,Fueras_de_juego_E2,Regates_E2,Ataques_tercio_ofensivo_E2,Ataques_zonas_clave_E2,Carreras_hacia_el_area_E2,Posesion_E2,Precision_pase_E2,Pases_completados_E2,Pases_realizados_E2,Pases_cortos_completados_E2,Pases_media_distancia_completados_E2,Pases_en_largo_completados_E2,Pases_completados_atras_E2,Pases_completadosa_izquierda_E2,Pases_completados_derecha_E2,Libres_directos_sacados_E2,Centros__tercio_ofensivo_E2,Pases_zonas_clave_E2,Pases_al_area_E2,Precision_en_el_centro_E2,Centros_completados_E2,Centros_realizados_E2,Tiempo_de_posesion_E2,Balones_recuperados_E2,Bloqueos_E2,Penaltis_cometidos_E2,Entradas_E2,Entradas_con_exito_E2,Entradas_perdidas_E2,Despejes_completados_E2,Despejes_realizados_E2,goles_encajados_E2,Goles_encajados_propia_puerta_E2,Porterias_a_cero_E2,Paradas_E2,Paradas_en_libres_directo_E2,Paradas-tras_libre_indirecto_E2,Penaltis_parados_E2,Balones_blocados_E2,Balones_blocados_por arriba_E2,Balones_blocados_por_abajo_E2,Despejes_de_puños_E2,Tarjetas_amarillas_E2,Tarjetas_rojas_E2,Faltas_cometidas_E2,Faltas_cometidas_tercio_def_E2,Faltas_cometidas_en_campo_propio_E2,media11_titular_E1,media11_titular_E2,Torneo,Confederacion_E1,Confederacion_E2
SEL-AFCON-2025-13424932,Ronda 1,2025-12-21,Marruecos,1,Comoros,2,0,,,16,7,4,5,0,,,,,,,,,,3,5,2.0,6,70,,40,70,89.8,582,648,,,17,,,,19,,,,17.2,5,29,,6,,,12,8,4,,7,0,,1,2.0,,,0.0,,,,,3.0,,10,,,,,4,2,2,0,0,,,,,,,,,,2,0,4.0,4,27,,2,30,76.1,217,285,,,9,,,,19,,,,,0,4,,12,,,16,9,7,,34,2,,0,5.0,,,1.0,,,,,1.0,,12,,,6.98,6.55,AFCON,CAF,Desconocido
SEL-AFCON-2025-13424933,Ronda 1,2025-12-22,Mali,1,Zambia,1,1,,,15,5,5,5,0,,,,,,,,,,4,6,0.0,15,61,,27,53,82.4,350,425,,,17,,,,12,,,,20.0,3,15,,8,,,20,12,8,,24,1,,0,1.0,,,0.0,,,,,1.0,,15,,,,,7,2,3,2,0,,,,,,,,,,2,5,2.0,12,44,,13,47,80.3,301,375,,,24,,,,15,,,,25.0,4,16,,7,,,16,7,9,,23,1,,0,4.0,,,1.0,,,,,1.0,,13,,,6.82,6.83,AFCON,CAF,CAF
SEL-AFCON-2025-13424936,Ronda 1,2025-12-22,Sudáfrica,1,Angola,2,1,,,10,4,4,2,1,,,,,,,,,,1,1,1.0,2,61,,14,58,85.2,390,458,,,27,,,,23,,,,44.4,4,9,,3,,,10,7,3,,26,1,,0,3.0,,,,,4.0,,,2.0,,17,,,,,10,4,1,5,0,,,,,,,,,,2,9,1.0,4,42,,23,42,80.2,255,318,,,19,,,,17,,,,33.3,9,27,,10,,,7,3,4,,16,2,,0,2.0,,,,,0.0,,,2.0,,23,,,7.14,6.53,AFCON,CAF,CAF
SEL-AFCON-2025-13424935,Ronda 1,2025-12-22,Egipto,1,Zimbabue,2,1,,,35,11,14,10,1,,,,,,,,,,8,8,3.0,10,77,,50,78,88.0,600,682,,,33,,,,15,,,,43.3,13,30,,7,,,7,5,2,,28,1,,0,2.0,,,,,,,,2.0,,13,,,,,8,3,4,1,0,,,,,,,,,,0,3,1.0,3,44,,14,22,56.3,111,197,,,18,,,,13,,,,25.0,3,12,,10,,,19,10,9,,37,2,,0,9.0,,,,,,,,2.0,,15,,,7.17,6.78,AFCON,CAF,CAF
SEL-AFCON-2025-13424940,Ronda 1,2025-12-23,RD Congo,1,Benín,1,0,,,11,3,5,3,0,,,,,,,,,,2,5,1.0,6,44,,16,40,74.4,224,301,,,19,,,,11,,,,22.2,4,18,,6,,,16,6,10,,28,0,,1,2.0,,,,,,,0.0,3.0,,16,,,,,12,2,10,0,0,,,,,,,,,,1,5,0.0,9,55,,14,60,83.9,380,453,,,35,,,,16,,,,20.0,5,25,,6,,,16,12,4,,21,1,,0,2.0,,,,,,,1.0,3.0,,11,,,6.96,6.71,AFCON,CAF,CAF
SEL-AFCON-2025-13424939,Ronda 1,2025-12-23,Senegal,1,Botswana,3,0,,,28,17,6,5,0,,,,,,,,,,9,7,1.0,11,89,,57,68,90.8,582,641,,,10,,,,7,,,,25.0,7,28,,6,,,12,5,7,,14,0,,1,0.0,,,,,0.0,,0.0,1.0,,16,,,,,4,0,3,1,0,,,,,,,,,,0,2,5.0,5,42,,5,32,76.7,237,309,,,37,,,,16,,,,25.0,2,8,,4,,,16,4,12,,29,3,,0,14.0,,,,,2.0,,1.0,2.0,,7,,,7.31,6.82,AFCON,CAF,Desconocido
SEL-AFCON-2025-13424937,Ronda 1,2025-12-23,Nigeria,1,Tanzania,2,1,,,21,11,7,3,1,,,,,,,,,,4,6,1.0,14,56,,32,59,89.0,451,507,,,25,,,,7,,,,21.4,6,28,,5,,,14,8,6,,13,1,,0,2.0,,,,,1.0,,,1.0,,23,,,,,11,3,5,3,0,,,,,,,,,,2,6,2.0,4,45,,14,41,79.3,276,348,,,18,,,,23,,,,43.8,7,16,,7,,,21,11,10,,32,2,,0,8.0,,,,,1.0,,,0.0,,7,,,7.07,6.85,AFCON,CAF,CAF
SEL-AFCON-2025-13424938,Ronda 1,2025-12-23,Túnez,1,Uganda,3,1,,,15,6,6,3,0,,,,,,,,,,2,8,0.0,11,53,,38,49,81.1,344,424,,,21,,,,15,,,,41.2,7,17,,10,,,14,8,6,,25,1,,0,0.0,,,,,,,,1.0,,15,,,,,9,1,5,3,0,,,,,,,,,,0,2,1.0,10,46,,10,51,81.2,363,447,,,21,,,,15,,,,9.1,1,11,,8,,,21,14,7,,28,3,,0,3.0,,,,,,,,2.0,,15,,,7.14,6.44,AFCON,CAF,CAF
SEL-AFCON-2025-13424942,Ronda 1,2025-12-24,Burkina Faso,1,Guinea Ecuatorial,2,1,,,16,5,6,5,0,,,,,,,,,,5,9,2.0,13,62,,48,67,85.7,412,481,,,22,,,,12,,,,28.0,7,25,,4,,,19,9,10,,17,1,,0,0.0,,,,,1.0,,,1.0,0.0,16,,,,,5,1,4,0,0,,,,,,,,,,0,3,1.0,4,36,,10,33,72.2,174,241,,,24,,,,16,,,,10.0,1,10,,8,,,13,9,4,,28,2,,0,3.0,,,,,4.0,,,1.0,1.0,12,,,7.0,6.52,AFCON,CAF,CAF
SEL-AFCON-2025-13424941,Ronda 1,2025-12-24,Argelia,1,Sudan,3,0,,,14,7,5,2,1,,,,,,,,,,5,11,3.0,11,50,,28,58,88.0,405,460,,,19,,,,9,,,,12.5,3,24,,13,,,13,7,6,,9,0,,1,2.0,,,,,1.0,,,0.0,0.0,16,,,,,5,2,3,0,0,,,,,,,,,,0,1,2.0,5,30,,13,42,79.9,271,339,,,17,,,,16,,,,40.0,4,10,,11,,,14,8,6,,20,3,,0,4.0,,,,,0.0,,,3.0,1.0,9,,,7.21,6.31,AFCON,CAF,Desconocido
