Partido_id,Fase,Fecha,Equipo1,Es_Local_E1,Equipo2,EQUIPO1_GOLES,EQUIPO2_GOLES,Goles_dentro_area_E1,Goles_Fuera_Area_E1,Disparos_totales_E1,Disparos_a_puerta_E1,Disparos_fuera_E1,Disparo_Bloqueados_E1,Disparos_Al palo_E1,Disparos_Larguero_E1,Disparos_Poste_E1,Disparos_a_puerta_fuera_del_area_E1,Disparos_fuera_desde_fuera_del_area_E1,Asistencias_E1,Penaltis_marcados_E1,Penaltis_fallados_E1,Penaltis_forzados_E1,Ataques_E1,Oportunidades_claras_E1,Saques_de_esquina_sacados_E1,Fueras_de_juego_E1,Regates_E1,Ataques_tercio_ofensivo_E1,Ataques_zonas_clave_E1,Carreras_hacia_el_area_E1,Posesion_E1,Precision_pase_E1,Pases_completados_E1,Pases_realizados_E1,Pases_cortos_completados_E1,Pases_media_distancia_completados_E1,Pases_en_largo_completados_E1,Pases_completados_atras_E1,Pases_completadosa_izquierda_E1,Pases_completados_derecha_E1,Libres_directos_sacados_E1,Centros__tercio_ofensivo_E1,Pases_zonas_clave_E1,Pases_al_area_E1,Precision_en_el_centro_E1,Centros_completados_E1,Centros_realizados_E1,Tiempo_de_posesion_E1,Balones_recuperados_E1,Bloqueos_E1,Penaltis_cometidos_E1,Entradas_E1,Entradas_con_exito_E1,Entradas_perdidas_E1,Despejes_completados_E1,Despejes_realizados_E1,goles_encajados_E1,Goles_encajados_propia_puerta_E1,Porterias_a_cero_E1,Paradas_E1,Paradas_en_libres_directo_E1,Paradas-tras_libre_indirecto_E1,Penaltis_parados_E1,Balones_blocados_E1,Balones_blocados_por arriba_E1,Balones_blocados_por_abajo_E1,Despejes_de_puños_E1,Tarjetas_amarillas_E1,Tarjetas_rojas_E1,Faltas_cometidas_E1,Faltas_cometidas_tercio_def_E1,Faltas_cometidas_en_campo_propio_E1,Goles_dentro_area_E2,Goles_Fuera_Area_E2,Disparos_totales_E2,Disparos_a_puerta_E2,Disparos_fuera_E2,Disparo_Bloqueados_E2,Disparos_Al palo_E2,Disparos_Larguero_E2,Disparos_Poste_E2,Disparos_a_puerta_fuera_del_area_E2,Disparos_fuera_desde_fuera_del_area_E2,Asistencias_E2,Penaltis_marcados_E2,Penaltis_fallados_E2,Penaltis_forzados_E2,Ataques_E2,Oportunidades_claras_E2,Saques_de_esquina_sacados_E2,Fueras_de_juego_E2,Regates_E2,Ataques_tercio_ofensivo_E2,Ataques_zonas_clave_E2,Carreras_hacia_el_area_E2,Posesion_E2,Precision_pase_E2,Pases_completados_E2,Pases_realizados_E2,Pases_cortos_completados_E2,Pases_media_distancia_completados_E2,Pases_en_largo_completados_E2,Pases_completados_atras_E2,Pases_completadosa_izquierda_E2,Pases_completados_derecha_E2,Libres_directos_sacados_E2,Centros__tercio_ofensivo_E2,Pases_zonas_clave_E2,Pases_al_area_E2,Precision_en_el_centro_E2,Centros_completados_E2,Centros_realizados_E2,Tiempo_de_posesion_E2,Balones_recuperados_E2,Bloqueos_E2,Penaltis_cometidos_E2,Entradas_E2,Entradas_con_exito_E2,Entradas_perdidas_E2,Despejes_completados_E2,Despejes_realizados_E2,goles_encajados_E2,Goles_encajados_propia_puerta_E2,Porterias_a_cero_E2,Paradas_E2,Paradas_en_libres_directo_E2,Paradas-tras_libre_indirecto_E2,Penaltis_parados_E2,Balones_blocados_E2,Balones_blocados_por arriba_E2,Balones_blocados_por_abajo_E2,Despejes_de_puños_E2,Tarjetas_amarillas_E2,Tarjetas_rojas_E2,Faltas_cometidas_E2,Faltas_cometidas_tercio_def_E2,Faltas_cometidas_en_campo_propio_E2,media11_titular_E1,media11_titular_E2,Torneo,Confederacion_E1,Confederacion_E2
SEL-ASIAN_CUP-2019-7798893,Final,2019-01-05,EAU,1,Baréin,1,1,,,14,3,7,4,0,,,,,,,,,,3.0,7,1.0,5,58,,,64,77.4,369,477,,,28,,,,6,,,,25.0,4,16,,15,,,21,16,5,,19,1,,0,3.0,,,,,,,,2,,9,,,,,13,5,5,3,1,,,,,,,,,,3.0,6,4.0,10,51,,,36,63.5,165,260,,,18,,,,8,,,,23.5,4,17,,8,,,17,8,9,,20,1,,0,2.0,,,,,,,,0,,8,,,6.92,6.85,AFC Asian Cup,AFC,AFC
SEL-ASIAN_CUP-2019-7798892,Final,2019-01-06,Australia,1,Jordania,0,1,,,19,6,9,4,1,,,,,,,,,,1.0,9,3.0,9,98,,,77,88.7,556,627,,,32,,,,9,,,,22.2,8,36,,9,,,11,10,1,,3,1,,0,5.0,,,,,,,,1,,11,,,,,10,6,4,0,1,,,,,,,,,,0.0,2,2.0,9,49,,,23,58.8,114,194,,,18,,,,11,,,,20.0,1,5,,18,,,18,14,4,,44,0,,1,6.0,,,,,,,,1,,9,,,6.81,7.29,AFC Asian Cup,AFC,AFC
SEL-ASIAN_CUP-2019-7798885,Final,2019-01-06,Tailandia,1,India,1,4,,,14,3,5,6,0,,,,,,,,,,1.0,4,1.0,13,85,,,65,78.6,418,532,,,34,,,,14,,,,21.7,5,23,,15,,,14,6,8,,13,4,,0,2.0,,,,,,,,2,,13,,,,,15,6,7,2,0,,,,,,,,,,1.0,5,0.0,4,64,,,35,60.7,173,285,,,20,,,,12,,,,25.0,3,12,,16,,,18,12,6,,23,1,,0,2.0,,,,,,,,0,,14,,,6.53,7.07,AFC Asian Cup,AFC,AFC
SEL-ASIAN_CUP-2019-7798889,Final,2019-01-06,Syria,1,Palestina,0,0,,,13,4,5,4,0,,,,,,,,,,1.0,6,1.0,11,90,,,66,81.1,430,530,,,33,,,,17,,,,17.2,5,29,,12,,,9,7,2,,11,0,,1,0.0,,,,,,,,2,0.0,11,,,,,5,0,4,1,0,,,,,,,,,,0.0,1,4.0,8,36,,,34,58.3,165,283,,,16,,,,9,,,,,0,4,,11,,,21,12,9,,35,0,,1,3.0,,,,,,,,4,1.0,18,,,6.97,6.86,AFC Asian Cup,Desconocido,AFC
SEL-ASIAN_CUP-2019-7798887,Final,2019-01-07,China,1,Kirguistán,2,1,,,9,2,4,3,0,,,,,,,,,,1.0,2,2.0,7,61,,,54,75.8,307,405,,,40,,,,12,,,,20.0,4,20,,5,,,14,7,7,,27,1,,0,0.0,,,,,,,,0,,9,,,,,10,1,8,1,0,,,,,,,,,,1.0,3,2.0,6,60,,,46,68.8,243,353,,,18,,,,9,,,,18.8,3,16,,9,,,23,17,6,,23,2,,0,1.0,,,,,,,,1,,12,,,6.77,6.61,AFC Asian Cup,AFC,AFC
SEL-ASIAN_CUP-2019-7798894,Final,2019-01-07,Corea del Sur,1,Philippines,1,0,,,16,5,7,4,0,,,,,,,,,,,3,2.0,6,106,,,82,90.4,707,782,,,35,,,,11,,,,30.8,8,26,,4,,,13,6,7,,8,0,,1,2.0,,,,,,,,3,,16,,,,,6,2,3,1,0,,,,,,,,,,,2,1.0,13,39,,,18,55.2,96,174,,,22,,,,16,,,,14.3,1,7,,7,,,17,7,10,,37,1,,0,4.0,,,,,,,,2,,11,,,7.14,6.76,AFC Asian Cup,AFC,Desconocido
SEL-ASIAN_CUP-2019-7798897,Final,2019-01-07,Irán,1,Yemen,5,0,,,20,10,5,5,2,,,,,,,,,,6.0,5,,17,65,,,71,86.5,525,607,,,42,,,,14,,,,26.3,5,19,,9,,,21,16,5,,7,0,,1,0.0,,,,,,,,1,,11,,,,,3,0,3,0,0,,,,,,,,,,0.0,1,,5,35,,,29,68.3,177,259,,,14,,,,11,,,,,0,2,,10,,,16,11,5,,25,5,,0,5.0,,,,,,,,4,,15,,,7.61,6.02,AFC Asian Cup,AFC,Desconocido
SEL-ASIAN_CUP-2019-7798899,Final,2019-01-08,Iraq,1,Vietnam,3,2,,,15,7,3,5,0,,,,,,,,,,1.0,2,2.0,7,73,,,57,80.9,428,529,,,47,,,,12,,,,35.3,6,17,,10,,,13,8,5,,10,2,,0,3.0,,,,,,,,1,,14,,,,,7,4,2,1,0,,,,,,,,,,1.0,3,0.0,2,60,,,43,73.7,300,407,,,29,,,,13,,,,20.0,1,5,,12,,,10,6,4,,25,3,,0,4.0,,,,,,,,2,,13,,,6.96,6.48,AFC Asian Cup,AFC,AFC
SEL-ASIAN_CUP-2019-7800871,Final,2019-01-08,Arabia Saudita,1,Corea del Norte,4,0,,,16,6,10,0,0,,,,,,,,,,1.0,10,2.0,4,79,,,73,90.4,618,684,,,34,,,,11,,,,23.5,8,34,,11,,,13,10,3,,9,0,,1,2.0,,,,,,,,1,0.0,7,,,,,7,2,5,0,0,,,,,,,,,,1.0,3,2.0,1,34,,,27,66.5,167,251,,,21,,,,7,,,,37.5,3,8,,12,,,8,6,2,,30,4,,0,2.0,,,,,,,,5,1.0,11,,,7.58,6.06,AFC Asian Cup,AFC,AFC
SEL-ASIAN_CUP-2019-7800877,Final,2019-01-09,Japón,1,Turkmenistan,3,2,,,21,6,11,4,0,,,,,,,,,,3.0,5,1.0,7,113,,,70,88.0,592,673,,,37,,,,5,,,,39.1,9,23,,10,,,12,6,6,,13,2,,0,2.0,,,,,,,,2,,10,,,,,9,4,2,3,0,,,,,,,,,,2.0,2,0.0,7,48,,,30,66.4,190,286,,,28,,,,10,,,,9.1,1,11,,13,,,14,7,7,,34,3,,0,3.0,,,,,,,,1,,6,,,7.19,6.62,AFC Asian Cup,AFC,Desconocido
SEL-ASIAN_CUP-2019-7800878,Final,2019-01-09,Uzbekistán,1,Omán,2,1,,,6,3,1,2,0,,,,,,,,,,1.0,3,1.0,6,34,,,40,79.8,280,351,,,26,,,,6,,,,22.2,2,9,,6,,,17,11,6,,35,1,,0,6.0,,,,,,,,2,1.0,13,,,,,18,7,6,5,0,,,,,,,,,,3.0,8,1.0,4,53,,,60,88.3,445,504,,,22,,,,13,,,,27.8,10,36,,8,,,13,7,6,,17,2,,0,1.0,,,,,,,,0,0.0,6,,,6.92,6.71,AFC Asian Cup,AFC,AFC
SEL-ASIAN_CUP-2019-7800872,Final,2019-01-09,Catar,1,Lebanon,2,0,,,13,5,3,5,0,,,,,,,,,,3.0,2,1.0,5,59,,,70,84.4,459,544,,,19,,,,15,,,,23.5,4,17,,10,,,19,12,7,,20,0,,1,1.0,,,,,,,,0,,13,,,,,5,1,2,2,0,,,,,,,,,,0.0,4,0.0,5,44,,,30,58.7,135,230,,,15,,,,12,,,,25.0,2,8,,21,,,18,12,6,,14,2,,0,3.0,,,,,,,,2,,16,,,7.14,6.55,AFC Asian Cup,AFC,Desconocido
SEL-ASIAN_CUP-2019-7798888,Semifinals,2019-01-10,Baréin,1,Tailandia,0,1,,,15,3,6,6,0,,,,,,,,,,2.0,3,2.0,5,64,,,58,70.6,247,350,,,26,,,,19,,,,20.0,6,30,,9,,,18,9,9,,22,1,,0,1.0,,,,,,,,0,,10,,,,,8,2,5,1,1,,,,,,,,,,2.0,4,4.0,6,49,,,42,59.2,155,262,,,26,,,,10,,,,18.2,2,11,,8,,,14,12,2,,32,0,,1,4.0,,,,,,,,4,,19,,,6.81,7.02,AFC Asian Cup,AFC,AFC
SEL-ASIAN_CUP-2019-7798890,Semifinals,2019-01-10,Jordania,1,Syria,2,0,,,18,4,11,3,0,,,,,,,,,,2.0,5,3.0,15,47,,,35,65.9,170,258,,,20,,,,14,,,,36.4,4,11,,14,,,14,9,5,,37,0,,1,5.0,,,,,,,,1,,11,,,,,12,5,4,3,1,,,,,,,,,,1.0,3,1.0,5,88,,,65,79.9,386,483,,,40,,,,10,,,,28.6,6,21,,10,,,12,6,6,,11,2,,0,2.0,,,,,,,,3,,14,,,7.41,6.56,AFC Asian Cup,AFC,Desconocido
SEL-ASIAN_CUP-2019-7798886,Semifinals,2019-01-10,India,1,EAU,0,2,,,9,3,6,0,1,,,,,,,,,,2.0,4,,4,59,,,35,55.0,132,240,,,18,,,,9,,,,37.5,6,16,,9,,,8,4,4,,27,2,,0,0.0,,,,,,,,2,,16,,,,,9,2,5,2,2,,,,,,,,,,0.0,5,,5,68,,,65,75.3,354,470,,,28,,,,15,,,,7.7,1,13,,11,,,13,7,6,,15,0,,1,3.0,,,,,,,,0,,9,,,6.56,7.19,AFC Asian Cup,AFC,AFC
SEL-ASIAN_CUP-2019-7798891,Semifinals,2019-01-11,Palestina,1,Australia,0,3,,,3,0,3,0,0,,,,,,,,,,0.0,0,4.0,1,46,,,32,71.5,188,263,,,34,,,,12,,,,37.5,3,8,,5,,,15,10,5,,24,3,,0,2.0,,,,,,,,1,,12,,,,,17,6,5,6,1,,,,,,,,,,2.0,11,1.0,7,55,,,68,84.7,470,555,,,25,,,,10,,,,29.2,7,24,,6,,,8,4,4,,6,0,,1,1.0,,,,,,,,2,,12,,,6.5,7.22,AFC Asian Cup,AFC,AFC
