Partido_id,Fase,Fecha,Equipo1,Es_Local_E1,Equipo2,EQUIPO1_GOLES,EQUIPO2_GOLES,Goles_dentro_area_E1,Goles_Fuera_Area_E1,Disparos_totales_E1,Disparos_a_puerta_E1,Disparos_fuera_E1,Disparo_Bloqueados_E1,Disparos_Al palo_E1,Disparos_Larguero_E1,Disparos_Poste_E1,Disparos_a_puerta_fuera_del_area_E1,Disparos_fuera_desde_fuera_del_area_E1,Asistencias_E1,Penaltis_marcados_E1,Penaltis_fallados_E1,Penaltis_forzados_E1,Ataques_E1,Oportunidades_claras_E1,Saques_de_esquina_sacados_E1,Fueras_de_juego_E1,Regates_E1,Ataques_tercio_ofensivo_E1,Ataques_zonas_clave_E1,Carreras_hacia_el_area_E1,Posesion_E1,Precision_pase_E1,Pases_completados_E1,Pases_realizados_E1,Pases_cortos_completados_E1,Pases_media_distancia_completados_E1,Pases_en_largo_completados_E1,Pases_completados_atras_E1,Pases_completadosa_izquierda_E1,Pases_completados_derecha_E1,Libres_directos_sacados_E1,Centros__tercio_ofensivo_E1,Pases_zonas_clave_E1,Pases_al_area_E1,Precision_en_el_centro_E1,Centros_completados_E1,Centros_realizados_E1,Tiempo_de_posesion_E1,Balones_recuperados_E1,Bloqueos_E1,Penaltis_cometidos_E1,Entradas_E1,Entradas_con_exito_E1,Entradas_perdidas_E1,Despejes_completados_E1,Despejes_realizados_E1,goles_encajados_E1,Goles_encajados_propia_puerta_E1,Porterias_a_cero_E1,Paradas_E1,Paradas_en_libres_directo_E1,Paradas-tras_libre_indirecto_E1,Penaltis_parados_E1,Balones_blocados_E1,Balones_blocados_por arriba_E1,Balones_blocados_por_abajo_E1,Despejes_de_puños_E1,Tarjetas_amarillas_E1,Tarjetas_rojas_E1,Faltas_cometidas_E1,Faltas_cometidas_tercio_def_E1,Faltas_cometidas_en_campo_propio_E1,Goles_dentro_area_E2,Goles_Fuera_Area_E2,Disparos_totales_E2,Disparos_a_puerta_E2,Disparos_fuera_E2,Disparo_Bloqueados_E2,Disparos_Al palo_E2,Disparos_Larguero_E2,Disparos_Poste_E2,Disparos_a_puerta_fuera_del_area_E2,Disparos_fuera_desde_fuera_del_area_E2,Asistencias_E2,Penaltis_marcados_E2,Penaltis_fallados_E2,Penaltis_forzados_E2,Ataques_E2,Oportunidades_claras_E2,Saques_de_esquina_sacados_E2,Fueras_de_juego_E2,Regates_E2,Ataques_tercio_ofensivo_E2,Ataques_zonas_clave_E2,Carreras_hacia_el_area_E2,Posesion_E2,Precision_pase_E2,Pases_completados_E2,Pases_realizados_E2,Pases_cortos_completados_E2,Pases_media_distancia_completados_E2,Pases_en_largo_completados_E2,Pases_completados_atras_E2,Pases_completadosa_izquierda_E2,Pases_completados_derecha_E2,Libres_directos_sacados_E2,Centros__tercio_ofensivo_E2,Pases_zonas_clave_E2,Pases_al_area_E2,Precision_en_el_centro_E2,Centros_completados_E2,Centros_realizados_E2,Tiempo_de_posesion_E2,Balones_recuperados_E2,Bloqueos_E2,Penaltis_cometidos_E2,Entradas_E2,Entradas_con_exito_E2,Entradas_perdidas_E2,Despejes_completados_E2,Despejes_realizados_E2,goles_encajados_E2,Goles_encajados_propia_puerta_E2,Porterias_a_cero_E2,Paradas_E2,Paradas_en_libres_directo_E2,Paradas-tras_libre_indirecto_E2,Penaltis_parados_E2,Balones_blocados_E2,Balones_blocados_por arriba_E2,Balones_blocados_por_abajo_E2,Despejes_de_puños_E2,Tarjetas_amarillas_E2,Tarjetas_rojas_E2,Faltas_cometidas_E2,Faltas_cometidas_tercio_def_E2,Faltas_cometidas_en_campo_propio_E2,media11_titular_E1,media11_titular_E2,Torneo,Confederacion_E1,Confederacion_E2
SEL-AFCON-2021-9786529,Final,2022-01-09,Camerún,1,Burkina Faso,2,1,,,14.0,4.0,7.0,3.0,0.0,,,,,,,,,,2.0,6.0,1.0,18.0,57.0,,,60.0,84.3,339.0,402.0,,,31.0,,,,19.0,,,,9.5,2.0,21.0,,5.0,,,19.0,11.0,8.0,,13.0,1,,0,4.0,,,,,,,,1.0,,15.0,,,,,11.0,6.0,2.0,3.0,1.0,,,,,,,,,,2.0,5.0,1.0,10.0,47.0,,,40.0,79.4,216.0,272.0,,,17.0,,,,15.0,,,,23.1,3.0,13.0,,14.0,,,21.0,13.0,8.0,,12.0,2,,0,2.0,,,,,,,,2.0,,21.0,,,6.96,6.57,AFCON,CAF,CAF
SEL-AFCON-2021-9786528,Final,2022-01-09,Etiopía,1,Cabo Verde,0,1,,,7.0,1.0,4.0,2.0,0.0,,,,,,,,,,0.0,1.0,1.0,6.0,48.0,,,43.0,78.3,303.0,387.0,,,18.0,,,,6.0,,,,25.0,1.0,4.0,,9.0,,,13.0,9.0,4.0,,17.0,1,,0,4.0,,,,,,,,1.0,1.0,11.0,,,,,11.0,3.0,5.0,3.0,0.0,,,,,,,,,,2.0,6.0,4.0,4.0,66.0,,,57.0,84.8,424.0,500.0,,,48.0,,,,8.0,,,,40.9,9.0,22.0,,13.0,,,12.0,8.0,4.0,,7.0,0,,1,1.0,,,,,,,,1.0,0.0,8.0,,,6.46,7.22,AFCON,CAF,CAF
SEL-AFCON-2021-9737515,Final,2022-01-10,Senegal,1,Zimbabue,1,0,,,16.0,3.0,9.0,4.0,0.0,,,,,,,,,,3.0,4.0,1.0,16.0,56.0,,,61.0,83.7,400.0,478.0,,,40.0,,,,10.0,,,,33.3,7.0,21.0,,9.0,,,14.0,12.0,2.0,,7.0,0,,1,2.0,,,,,,,,1.0,,9.0,,,,,11.0,2.0,5.0,4.0,0.0,,,,,,,,,,0.0,4.0,3.0,4.0,37.0,,,39.0,75.9,236.0,311.0,,,19.0,,,,8.0,,,,11.1,1.0,9.0,,5.0,,,17.0,9.0,8.0,,17.0,1,,0,2.0,,,,,,,,2.0,,12.0,,,7.26,6.59,AFCON,CAF,CAF
SEL-AFCON-2021-9737652,Final,2022-01-10,Guinea,1,Malawi,1,0,,,13.0,4.0,3.0,6.0,1.0,,,,,,,,,,4.0,6.0,1.0,3.0,58.0,,,65.0,77.1,324.0,420.0,,,33.0,,,,12.0,,,,29.4,5.0,17.0,,5.0,,,8.0,7.0,1.0,,17.0,0,,1,6.0,,,,,,,,1.0,,11.0,,,,,10.0,6.0,2.0,2.0,0.0,,,,,,,,,,2.0,6.0,2.0,2.0,69.0,,,35.0,59.4,133.0,224.0,,,16.0,,,,10.0,,,,7.1,1.0,14.0,,5.0,,,5.0,5.0,0.0,,9.0,1,,0,3.0,,,,,,,,2.0,,14.0,,,7.12,6.59,AFCON,CAF,Desconocido
SEL-AFCON-2021-9737188,Final,2022-01-10,Marruecos,1,Ghana,1,0,,,12.0,3.0,6.0,3.0,0.0,,,,,,,,,,2.0,4.0,1.0,6.0,38.0,,,62.0,77.3,265.0,343.0,,,24.0,,,,21.0,,,,28.6,4.0,14.0,,5.0,,,17.0,9.0,8.0,,11.0,0,,1,2.0,,,,,,,,1.0,,21.0,,,,,5.0,2.0,3.0,0.0,0.0,,,,,,,,,,0.0,5.0,0.0,7.0,56.0,,,38.0,63.5,134.0,211.0,,,11.0,,,,20.0,,,,23.1,3.0,13.0,,5.0,,,13.0,8.0,5.0,,12.0,1,,0,2.0,,,,,,,,2.0,,21.0,,,7.02,6.56,AFCON,CAF,CAF
SEL-AFCON-2021-9737291,Final,2022-01-10,Comoros,1,Gabón,0,1,,,9.0,1.0,5.0,3.0,0.0,,,,,,,,,,,3.0,3.0,6.0,65.0,,,63.0,81.0,366.0,452.0,,,18.0,,,,22.0,,,,14.8,4.0,27.0,,15.0,,,14.0,5.0,9.0,,7.0,1,,0,1.0,,,,,,,,1.0,,12.0,,,,,4.0,2.0,1.0,1.0,0.0,,,,,,,,,,,1.0,4.0,8.0,61.0,,,37.0,70.2,193.0,275.0,,,17.0,,,,10.0,,,,14.3,1.0,7.0,,14.0,,,15.0,7.0,8.0,,17.0,0,,1,1.0,,,,,,,,1.0,,24.0,,,6.68,6.93,AFCON,Desconocido,CAF
SEL-AFCON-2021-9737616,Final,2022-01-11,Argelia,1,Sierra Leone,0,0,,,19.0,8.0,5.0,6.0,0.0,,,,,,,,,,2.0,10.0,2.0,9.0,60.0,,,67.0,87.8,433.0,493.0,,,35.0,,,,11.0,,,,30.0,6.0,20.0,,4.0,,,9.0,5.0,4.0,,10.0,0,,1,1.0,,,,,,,,1.0,,14.0,,,,,10.0,1.0,8.0,1.0,0.0,,,,,,,,,,0.0,2.0,3.0,6.0,31.0,,,33.0,81.2,195.0,240.0,,,27.0,,,,14.0,,,,21.4,3.0,14.0,,9.0,,,12.0,8.0,4.0,,24.0,0,,1,7.0,,,,,,,,1.0,,11.0,,,7.04,7.21,AFCON,CAF,Desconocido
SEL-AFCON-2021-9737439,Final,2022-01-11,Nigeria,1,Egipto,1,0,,,15.0,5.0,5.0,5.0,1.0,,,,,,,,,,3.0,6.0,0.0,12.0,69.0,,,43.0,75.0,249.0,332.0,,,20.0,,,,6.0,,,,35.0,7.0,20.0,,8.0,,,16.0,7.0,9.0,,18.0,0,,1,2.0,,,,,,,,,,15.0,,,,,4.0,2.0,2.0,0.0,0.0,,,,,,,,,,1.0,3.0,1.0,5.0,62.0,,,57.0,77.1,351.0,455.0,,,20.0,,,,15.0,,,,,0.0,9.0,,12.0,,,16.0,10.0,6.0,,22.0,1,,0,4.0,,,,,,,,,,6.0,,,7.14,6.77,AFCON,CAF,CAF
SEL-AFCON-2021-9737061,Final,2022-01-11,Sudan,1,Guinea,0,0,,,10.0,4.0,4.0,2.0,0.0,,,,,,,,,,0.0,3.0,4.0,7.0,74.0,,,41.0,77.9,261.0,335.0,,,23.0,,,,12.0,,,,23.1,3.0,13.0,,10.0,,,22.0,11.0,11.0,,11.0,0,,1,3.0,,,,,,,,2.0,,18.0,,,,,9.0,4.0,4.0,1.0,2.0,,,,,,,,,,5.0,3.0,1.0,20.0,73.0,,,59.0,84.9,404.0,476.0,,,39.0,,,,17.0,,,,29.4,5.0,17.0,,10.0,,,20.0,9.0,11.0,,12.0,0,,1,4.0,,,,,,,,1.0,,12.0,,,6.95,7.15,AFCON,Desconocido,CAF
SEL-AFCON-2021-9736682,Final,2022-01-12,Túnez,1,Mali,0,1,,,8.0,3.0,2.0,3.0,0.0,,,,,,,,,,2.0,5.0,1.0,3.0,33.0,,,56.0,81.1,283.0,349.0,,,17.0,,,,13.0,,,,21.4,3.0,14.0,,8.0,,,16.0,10.0,6.0,,14.0,1,,0,0.0,,,,,,,,2.0,0.0,14.0,,,,,10.0,1.0,4.0,5.0,0.0,,,,,,,,,,1.0,6.0,2.0,9.0,38.0,,,44.0,79.7,220.0,276.0,,,13.0,,,,12.0,,,,25.0,4.0,16.0,,15.0,,,14.0,8.0,6.0,,19.0,0,,1,3.0,,,,,,,,2.0,1.0,14.0,,,6.6,7.09,AFCON,CAF,CAF
