Partido_id,Fase,Fecha,Equipo1,Es_Local_E1,Equipo2,EQUIPO1_GOLES,EQUIPO2_GOLES,Goles_dentro_area_E1,Goles_Fuera_Area_E1,Disparos_totales_E1,Disparos_a_puerta_E1,Disparos_fuera_E1,Disparo_Bloqueados_E1,Disparos_Al palo_E1,Disparos_Larguero_E1,Disparos_Poste_E1,Disparos_a_puerta_fuera_del_area_E1,Disparos_fuera_desde_fuera_del_area_E1,Asistencias_E1,Penaltis_marcados_E1,Penaltis_fallados_E1,Penaltis_forzados_E1,Ataques_E1,Oportunidades_claras_E1,Saques_de_esquina_sacados_E1,Fueras_de_juego_E1,Regates_E1,Ataques_tercio_ofensivo_E1,Ataques_zonas_clave_E1,Carreras_hacia_el_area_E1,Posesion_E1,Precision_pase_E1,Pases_completados_E1,Pases_realizados_E1,Pases_cortos_completados_E1,Pases_media_distancia_completados_E1,Pases_en_largo_completados_E1,Pases_completados_atras_E1,Pases_completadosa_izquierda_E1,Pases_completados_derecha_E1,Libres_directos_sacados_E1,Centros__tercio_ofensivo_E1,Pases_zonas_clave_E1,Pases_al_area_E1,Precision_en_el_centro_E1,Centros_completados_E1,Centros_realizados_E1,Tiempo_de_posesion_E1,Balones_recuperados_E1,Bloqueos_E1,Penaltis_cometidos_E1,Entradas_E1,Entradas_con_exito_E1,Entradas_perdidas_E1,Despejes_completados_E1,Despejes_realizados_E1,goles_encajados_E1,Goles_encajados_propia_puerta_E1,Porterias_a_cero_E1,Paradas_E1,Paradas_en_libres_directo_E1,Paradas-tras_libre_indirecto_E1,Penaltis_parados_E1,Balones_blocados_E1,Balones_blocados_por arriba_E1,Balones_blocados_por_abajo_E1,Despejes_de_puños_E1,Tarjetas_amarillas_E1,Tarjetas_rojas_E1,Faltas_cometidas_E1,Faltas_cometidas_tercio_def_E1,Faltas_cometidas_en_campo_propio_E1,Goles_dentro_area_E2,Goles_Fuera_Area_E2,Disparos_totales_E2,Disparos_a_puerta_E2,Disparos_fuera_E2,Disparo_Bloqueados_E2,Disparos_Al palo_E2,Disparos_Larguero_E2,Disparos_Poste_E2,Disparos_a_puerta_fuera_del_area_E2,Disparos_fuera_desde_fuera_del_area_E2,Asistencias_E2,Penaltis_marcados_E2,Penaltis_fallados_E2,Penaltis_forzados_E2,Ataques_E2,Oportunidades_claras_E2,Saques_de_esquina_sacados_E2,Fueras_de_juego_E2,Regates_E2,Ataques_tercio_ofensivo_E2,Ataques_zonas_clave_E2,Carreras_hacia_el_area_E2,Posesion_E2,Precision_pase_E2,Pases_completados_E2,Pases_realizados_E2,Pases_cortos_completados_E2,Pases_media_distancia_completados_E2,Pases_en_largo_completados_E2,Pases_completados_atras_E2,Pases_completadosa_izquierda_E2,Pases_completados_derecha_E2,Libres_directos_sacados_E2,Centros__tercio_ofensivo_E2,Pases_zonas_clave_E2,Pases_al_area_E2,Precision_en_el_centro_E2,Centros_completados_E2,Centros_realizados_E2,Tiempo_de_posesion_E2,Balones_recuperados_E2,Bloqueos_E2,Penaltis_cometidos_E2,Entradas_E2,Entradas_con_exito_E2,Entradas_perdidas_E2,Despejes_completados_E2,Despejes_realizados_E2,goles_encajados_E2,Goles_encajados_propia_puerta_E2,Porterias_a_cero_E2,Paradas_E2,Paradas_en_libres_directo_E2,Paradas-tras_libre_indirecto_E2,Penaltis_parados_E2,Balones_blocados_E2,Balones_blocados_por arriba_E2,Balones_blocados_por_abajo_E2,Despejes_de_puños_E2,Tarjetas_amarillas_E2,Tarjetas_rojas_E2,Faltas_cometidas_E2,Faltas_cometidas_tercio_def_E2,Faltas_cometidas_en_campo_propio_E2,media11_titular_E1,media11_titular_E2,Torneo,Confederacion_E1,Confederacion_E2
SEL-CONCACAF_NL-2024-25-12441530,Ronda 1,2024-09-04,Anguilla,1,Turks And Caicos Islands,2,0,,,13,6,4,3,0,,,,,,,,,,1.0,3,,7,31,,16,33,50.0,84,168,,,13,,,,13,,,,33.3,3,9,,14,,,17,11,6,,19,0,,1,0,,,,,3.0,,,2.0,,12,,,,,9,0,7,2,0,,,,,,,,,,1.0,4,,14,64,,21,67,77.0,264,343,,,33,,,,10,,,,8.0,2,25,,4,,,16,13,3,,17,2,,0,4,,,,,0.0,,,3.0,,13,,,6.98,6.76,CONCACAF Nations League,Desconocido,Desconocido
SEL-CONCACAF_NL-2024-25-12441533,Ronda 1,2024-09-04,USA,1,Bahamas,3,3,,,15,6,4,5,0,,,,,,,,,,4.0,5,0.0,9,55,,23,32,62.6,124,198,,,24,,,,6,,,,41.7,5,12,,8,,,18,12,6,,26,3,,0,3,,,,,0.0,,2.0,3.0,,14,,,,,16,6,3,7,1,,,,,,,,,,3.0,8,2.0,9,67,,16,68,84.3,364,432,,,47,,,,12,,,,22.7,5,22,,5,,,12,11,1,,17,3,,0,3,,,,,1.0,,1.0,1.0,,6,,,6.88,7.04,CONCACAF Nations League,CONCACAF,Desconocido
SEL-CONCACAF_NL-2024-25-12441405,Ronda 1,2024-09-04,British Virgin Islands,1,Cayman Islands,0,1,,,3,0,2,1,0,,,,,,,,,,,2,2.0,7,59,,3,45,70.2,205,292,,,29,,,,12,,,,12.5,1,8,,5,,,20,13,7,,20,1,,0,2,,,,,1.0,,,2.0,,21,,,,,12,4,6,2,0,,,,,,,,,,,5,1.0,9,61,,20,55,75.4,273,362,,,32,,,,21,,,,26.7,4,15,,3,,,10,9,1,,10,0,,1,0,,,,,1.0,,,2.0,,13,,,6.72,6.96,CONCACAF Nations League,Desconocido,Desconocido
SEL-CONCACAF_NL-2024-25-12441491,Ronda 1,2024-09-05,Guyana,1,Suriname,1,3,,,10,3,6,1,0,,,,,,,,,,1.0,3,1.0,2,53,,19,54,88.0,360,409,,,26,,,,14,,,,33.3,5,15,,9,,,14,11,3,,14,3,,0,5,,,,,,,,0.0,,11,,,,,16,8,6,2,0,,,,,,,,,,2.0,5,5.0,10,69,,26,46,81.0,289,357,,,39,,,,10,,,,50.0,3,6,,8,,,18,10,8,,11,1,,0,2,,,,,,,,2.0,,14,,,6.68,7.1,CONCACAF Nations League,Desconocido,Desconocido
SEL-CONCACAF_NL-2024-25-12441469,Ronda 1,2024-09-05,Montserrat,1,El Salvador,1,4,,,4,1,2,1,0,,,,,,,,,,0.0,2,0.0,5,49,,14,39,72.1,191,265,,,31,,,,13,,,,21.4,3,14,,19,,,9,7,2,,25,4,,0,2,,,,,1.0,,,2.0,,11,,,,,14,6,5,3,0,,,,,,,,,,2.0,7,1.0,8,53,,25,61,78.7,333,423,,,25,,,,11,,,,8.3,2,24,,11,,,15,11,4,,10,1,,0,0,,,,,1.0,,,0.0,,13,,,6.4,7.23,CONCACAF Nations League,Desconocido,CONCACAF
SEL-CONCACAF_NL-2024-25-12441492,Ronda 1,2024-09-05,Costa Rica,1,Guadeloupe,3,0,,,21,6,10,5,1,,,,,,,,,,3.0,9,3.0,7,56,,43,61,88.1,458,520,,,33,,,,12,,,,33.3,7,21,,11,,,22,17,5,,8,0,,1,3,,,,,,,1.0,1.0,,10,,,,,9,3,5,1,0,,,,,,,,,,1.0,4,1.0,8,46,,12,39,83.0,274,330,,,21,,,,9,,,,30.0,3,10,,9,,,20,10,10,,19,3,,0,3,,,,,,,0.0,1.0,,12,,,7.45,6.63,CONCACAF Nations League,CONCACAF,Desconocido
SEL-CONCACAF_NL-2024-25-12441465,Ronda 1,2024-09-05,Bonaire,1,Saint Vincent And The Grenadines,1,1,,,12,5,2,5,0,,,,,,,,,,1.0,3,0.0,8,44,,18,54,78.8,286,363,,,26,,,,17,,,,42.9,6,14,,14,,,11,7,4,,19,1,,0,4,,,,,1.0,,1.0,2.0,,12,,,,,14,5,6,3,1,,,,,,,,,,3.0,8,1.0,8,57,,20,46,74.2,219,295,,,30,,,,11,,,,29.4,5,17,,6,,,15,12,3,,15,1,,0,4,,,,,0.0,,0.0,3.0,,18,,,6.89,6.9,CONCACAF Nations League,Desconocido,Desconocido
SEL-CONCACAF_NL-2024-25-12441495,Ronda 1,2024-09-05,Guatemala,1,Martinique,3,1,,,20,6,8,6,0,,,,,,,,,,5.0,6,2.0,4,68,,35,56,77.2,277,359,,,33,,,,13,,,,34.6,9,26,,7,,,17,12,5,,12,1,,0,3,,,1.0,,,,3.0,1.0,,11,,,,,17,4,9,4,0,,,,,,,,,,2.0,4,0.0,7,58,,28,44,79.3,226,285,,,24,,,,11,,,,35.7,5,14,,17,,,7,7,0,,26,3,,0,3,,,0.0,,,,0.0,2.0,,14,,,7.22,6.77,CONCACAF Nations League,CONCACAF,Desconocido
SEL-CONCACAF_NL-2024-25-12441485,Ronda 1,2024-09-06,French Guiana,1,Nicaragua,0,1,,,6,1,4,1,0,,,,,,,,,,1.0,1,1.0,8,46,,10,38,72.4,212,293,,,17,,,,14,,,,30.0,3,10,,8,,,29,20,9,,20,1,,0,5,,,,,,,,3.0,,16,,,,,19,6,7,6,0,,,,,,,,,,0.0,5,0.0,8,69,,19,62,86.3,423,490,,,16,,,,16,,,,30.8,4,13,,9,,,21,18,3,,11,0,,1,1,,,,,,,,3.0,,14,,,6.82,7.1,CONCACAF Nations League,Desconocido,Desconocido
SEL-CONCACAF_NL-2024-25-12441445,Ronda 1,2024-09-06,Saint Lucia,1,Curazao,2,1,,,10,3,5,2,0,,,,,,,,,,2.0,3,1.0,7,53,,24,38,64.7,156,241,,,22,,,,21,,,,25.0,3,12,,4,,,9,9,0,,16,1,,0,3,,,,,4.0,,2.0,1.0,,9,,,,,15,4,5,6,1,,,,,,,,,,0.0,6,0.0,4,70,,27,62,82.2,323,393,,,47,,,,8,,,,19.4,6,31,,5,,,9,8,1,,19,2,,0,1,,,,,0.0,,0.0,2.0,,21,,,7.04,6.83,CONCACAF Nations League,Desconocido,CONCACAF
