Partido_id,Fase,Fecha,Equipo1,Es_Local_E1,Equipo2,EQUIPO1_GOLES,EQUIPO2_GOLES,Goles_dentro_area_E1,Goles_Fuera_Area_E1,Disparos_totales_E1,Disparos_a_puerta_E1,Disparos_fuera_E1,Disparo_Bloqueados_E1,Disparos_Al palo_E1,Disparos_Larguero_E1,Disparos_Poste_E1,Disparos_a_puerta_fuera_del_area_E1,Disparos_fuera_desde_fuera_del_area_E1,Asistencias_E1,Penaltis_marcados_E1,Penaltis_fallados_E1,Penaltis_forzados_E1,Ataques_E1,Oportunidades_claras_E1,Saques_de_esquina_sacados_E1,Fueras_de_juego_E1,Regates_E1,Ataques_tercio_ofensivo_E1,Ataques_zonas_clave_E1,Carreras_hacia_el_area_E1,Posesion_E1,Precision_pase_E1,Pases_completados_E1,Pases_realizados_E1,Pases_cortos_completados_E1,Pases_media_distancia_completados_E1,Pases_en_largo_completados_E1,Pases_completados_atras_E1,Pases_completadosa_izquierda_E1,Pases_completados_derecha_E1,Libres_directos_sacados_E1,Centros__tercio_ofensivo_E1,Pases_zonas_clave_E1,Pases_al_area_E1,Precision_en_el_centro_E1,Centros_completados_E1,Centros_realizados_E1,Tiempo_de_posesion_E1,Balones_recuperados_E1,Bloqueos_E1,Penaltis_cometidos_E1,Entradas_E1,Entradas_con_exito_E1,Entradas_perdidas_E1,Despejes_completados_E1,Despejes_realizados_E1,goles_encajados_E1,Goles_encajados_propia_puerta_E1,Porterias_a_cero_E1,Paradas_E1,Paradas_en_libres_directo_E1,Paradas-tras_libre_indirecto_E1,Penaltis_parados_E1,Balones_blocados_E1,Balones_blocados_por arriba_E1,Balones_blocados_por_abajo_E1,Despejes_de_puños_E1,Tarjetas_amarillas_E1,Tarjetas_rojas_E1,Faltas_cometidas_E1,Faltas_cometidas_tercio_def_E1,Faltas_cometidas_en_campo_propio_E1,Goles_dentro_area_E2,Goles_Fuera_Area_E2,Disparos_totales_E2,Disparos_a_puerta_E2,Disparos_fuera_E2,Disparo_Bloqueados_E2,Disparos_Al palo_E2,Disparos_Larguero_E2,Disparos_Poste_E2,Disparos_a_puerta_fuera_del_area_E2,Disparos_fuera_desde_fuera_del_area_E2,Asistencias_E2,Penaltis_marcados_E2,Penaltis_fallados_E2,Penaltis_forzados_E2,Ataques_E2,Oportunidades_claras_E2,Saques_de_esquina_sacados_E2,Fueras_de_juego_E2,Regates_E2,Ataques_tercio_ofensivo_E2,Ataques_zonas_clave_E2,Carreras_hacia_el_area_E2,Posesion_E2,Precision_pase_E2,Pases_completados_E2,Pases_realizados_E2,Pases_cortos_completados_E2,Pases_media_distancia_completados_E2,Pases_en_largo_completados_E2,Pases_completados_atras_E2,Pases_completadosa_izquierda_E2,Pases_completados_derecha_E2,Libres_directos_sacados_E2,Centros__tercio_ofensivo_E2,Pases_zonas_clave_E2,Pases_al_area_E2,Precision_en_el_centro_E2,Centros_completados_E2,Centros_realizados_E2,Tiempo_de_posesion_E2,Balones_recuperados_E2,Bloqueos_E2,Penaltis_cometidos_E2,Entradas_E2,Entradas_con_exito_E2,Entradas_perdidas_E2,Despejes_completados_E2,Despejes_realizados_E2,goles_encajados_E2,Goles_encajados_propia_puerta_E2,Porterias_a_cero_E2,Paradas_E2,Paradas_en_libres_directo_E2,Paradas-tras_libre_indirecto_E2,Penaltis_parados_E2,Balones_blocados_E2,Balones_blocados_por arriba_E2,Balones_blocados_por_abajo_E2,Despejes_de_puños_E2,Tarjetas_amarillas_E2,Tarjetas_rojas_E2,Faltas_cometidas_E2,Faltas_cometidas_tercio_def_E2,Faltas_cometidas_en_campo_propio_E2,media11_titular_E1,media11_titular_E2,Torneo,Confederacion_E1,Confederacion_E2
SEL-ELIMINATORIAS-2026-11518408,Ronda 1,2023-09-07,Paraguay,1,Perú,0,0,,,19,6,9,4,5,,,,,,,,,,1.0,11,0.0,7,89,,,60,85.1,365,429,,,30,,,,12,,,,17.9,7,39,,6,,,18,12,6,,6,0,,1,0.0,,,,,,,,0.0,0.0,19,,,,,5,0,3,2,1,,,,,,,,,,0.0,1,2.0,6,38,,,40,75.1,232,309,,,22,,,,18,,,,14.3,1,7,,4,,,20,12,8,,48,0,,1,6.0,,,,,,,,3.0,1.0,13,,,7.14,6.86,CONMEBOL Eliminatorias,CONMEBOL,CONMEBOL
SEL-ELIMINATORIAS-2026-11518409,Ronda 1,2023-09-07,Colombia,1,Venezuela,1,0,,,13,4,6,3,0,,,,,,,,,,2.0,2,3.0,10,73,,,70,87.0,503,578,,,28,,,,18,,,,46.7,7,15,,8,,,20,15,5,,8,0,,1,2.0,,,,,,,,0.0,,13,,,,,7,2,4,1,0,,,,,,,,,,1.0,4,1.0,11,42,,,30,68.4,162,237,,,17,,,,12,,,,25.0,3,12,,11,,,25,15,10,,19,1,,0,3.0,,,,,,,,1.0,,19,,,7.15,6.83,CONMEBOL Eliminatorias,CONMEBOL,CONMEBOL
SEL-ELIMINATORIAS-2026-11518404,Ronda 1,2023-09-07,Argentina,1,Ecuador,1,0,,,13,4,5,4,2,,,,,,,,,,3.0,4,2.0,8,63,,,71,87.3,620,710,,,25,,,,13,,,,20.0,3,15,,10,,,28,17,11,,5,0,,1,3.0,,,,,,,,1.0,,9,,,,,5,3,2,0,0,,,,,,,,,,0.0,2,1.0,6,41,,,29,72.4,213,294,,,24,,,,8,,,,28.6,2,7,,13,,,22,12,10,,32,1,,0,2.0,,,,,,,,1.0,,13,,,7.44,6.82,CONMEBOL Eliminatorias,CONMEBOL,CONMEBOL
SEL-ELIMINATORIAS-2026-11518405,Ronda 1,2023-09-08,Uruguay,1,Chile,3,1,,,18,7,9,2,1,,,,,,,,,,4.0,3,1.0,13,38,,,50,80.0,352,440,,,28,,,,16,,,,38.5,5,13,,11,,,21,11,10,,23,1,,0,1.0,,,,,,,,4.0,,17,,,,,7,2,3,2,1,,,,,,,,,,1.0,3,1.0,5,44,,,50,77.5,335,432,,,27,,,,15,,,,38.5,5,13,,11,,,13,5,8,,10,3,,0,4.0,,,,,,,,5.0,,16,,,7.48,6.41,CONMEBOL Eliminatorias,CONMEBOL,CONMEBOL
SEL-ELIMINATORIAS-2026-11518410,Ronda 1,2023-09-08,Brasil,1,Bolivia,5,1,,,21,11,7,3,1,,,,,,,,,,8.0,6,1.0,11,46,,,80,92.5,568,614,,,20,,,,13,,,,46.7,7,15,,5,,,8,8,0,,6,1,,0,2.0,,,,,,,,1.0,,6,,,,,4,3,1,0,0,,,,,,,,,,0.0,1,4.0,3,27,,,20,70.5,110,156,,,14,,,,6,,,,,0,4,,7,,,15,7,8,,13,5,,0,6.0,,,,,,,,2.0,,14,,,7.65,6.17,CONMEBOL Eliminatorias,CONMEBOL,CONMEBOL
SEL-ELIMINATORIAS-2026-11518411,Ronda 2,2023-09-12,Bolivia,1,Argentina,0,3,,,4,2,1,1,0,,,,,,,,,,0.0,1,1.0,3,47,,,40,73.7,241,327,,,20,,,,9,,,,,0,4,,13,,,17,7,10,,8,3,,0,5.0,,,,,,,,4.0,1.0,23,,,,,15,8,6,1,2,,,,,,,,,,2.0,4,1.0,7,57,,,60,81.5,393,482,,,26,,,,23,,,,40.0,2,5,,7,,,14,10,4,,5,0,,1,2.0,,,,,,,,0.0,0.0,10,,,6.37,7.4,CONMEBOL Eliminatorias,CONMEBOL,CONMEBOL
SEL-ELIMINATORIAS-2026-11518412,Ronda 2,2023-09-12,Ecuador,1,Uruguay,2,1,,,15,4,10,1,0,,,,,,,,,,4.0,10,0.0,10,49,,,50,80.4,279,347,,,43,,,,17,,,,33.3,6,18,,12,,,11,7,4,,11,1,,0,1.0,,,,,,,,2.0,,12,,,,,5,2,1,2,0,,,,,,,,,,2.0,2,2.0,8,53,,,50,77.9,275,353,,,21,,,,12,,,,18.2,2,11,,5,,,15,9,6,,13,2,,0,2.0,,,,,,,,3.0,,18,,,7.09,6.65,CONMEBOL Eliminatorias,CONMEBOL,CONMEBOL
SEL-ELIMINATORIAS-2026-11518413,Ronda 2,2023-09-12,Venezuela,1,Paraguay,1,0,,,11,3,5,3,0,,,,,,,,,,1.0,7,,7,47,,,54,70.1,223,318,,,19,,,,13,,,,25.0,5,20,,7,,,15,11,4,,19,0,,1,5.0,,,,,,,,3.0,,13,,,,,18,5,8,5,0,,,,,,,,,,1.0,5,,7,54,,,46,67.3,185,275,,,13,,,,12,,,,35.3,6,17,,4,,,22,14,8,,21,1,,0,2.0,,,,,,,,4.0,,14,,,7.09,6.96,CONMEBOL Eliminatorias,CONMEBOL,CONMEBOL
SEL-ELIMINATORIAS-2026-11518406,Ronda 2,2023-09-12,Chile,1,Colombia,0,0,,,10,5,3,2,1,,,,,,,,,,2.0,6,3.0,7,52,,,51,75.8,313,413,,,29,,,,16,,,,11.8,2,17,,5,,,13,10,3,,13,0,,1,2.0,,,,,,,,1.0,,13,,,,,8,2,3,3,0,,,,,,,,,,0.0,3,1.0,7,53,,,49,81.1,327,403,,,17,,,,13,,,,12.5,2,16,,15,,,16,6,10,,21,0,,1,5.0,,,,,,,,5.0,,19,,,7.06,7.0,CONMEBOL Eliminatorias,CONMEBOL,CONMEBOL
SEL-ELIMINATORIAS-2026-11518407,Ronda 2,2023-09-12,Perú,1,Brasil,0,1,,,6,0,3,3,0,,,,,,,,,,0.0,4,4.0,2,50,,,38,81.0,281,347,,,37,,,,13,,,,30.8,4,13,,8,,,11,6,5,,12,1,,0,2.0,,,,,,,,3.0,,20,,,,,9,3,4,2,0,,,,,,,,,,1.0,4,3.0,6,57,,,62,87.5,516,590,,,21,,,,18,,,,30.0,3,10,,3,,,15,11,4,,9,0,,1,0.0,,,,,,,,2.0,,14,,,6.72,7.21,CONMEBOL Eliminatorias,CONMEBOL,CONMEBOL
