Partido_id,Fase,Fecha,Equipo1,Es_Local_E1,Equipo2,EQUIPO1_GOLES,EQUIPO2_GOLES,Goles_dentro_area_E1,Goles_Fuera_Area_E1,Disparos_totales_E1,Disparos_a_puerta_E1,Disparos_fuera_E1,Disparo_Bloqueados_E1,Disparos_Al palo_E1,Disparos_Larguero_E1,Disparos_Poste_E1,Disparos_a_puerta_fuera_del_area_E1,Disparos_fuera_desde_fuera_del_area_E1,Asistencias_E1,Penaltis_marcados_E1,Penaltis_fallados_E1,Penaltis_forzados_E1,Ataques_E1,Oportunidades_claras_E1,Saques_de_esquina_sacados_E1,Fueras_de_juego_E1,Regates_E1,Ataques_tercio_ofensivo_E1,Ataques_zonas_clave_E1,Carreras_hacia_el_area_E1,Posesion_E1,Precision_pase_E1,Pases_completados_E1,Pases_realizados_E1,Pases_cortos_completados_E1,Pases_media_distancia_completados_E1,Pases_en_largo_completados_E1,Pases_completados_atras_E1,Pases_completadosa_izquierda_E1,Pases_completados_derecha_E1,Libres_directos_sacados_E1,Centros__tercio_ofensivo_E1,Pases_zonas_clave_E1,Pases_al_area_E1,Precision_en_el_centro_E1,Centros_completados_E1,Centros_realizados_E1,Tiempo_de_posesion_E1,Balones_recuperados_E1,Bloqueos_E1,Penaltis_cometidos_E1,Entradas_E1,Entradas_con_exito_E1,Entradas_perdidas_E1,Despejes_completados_E1,Despejes_realizados_E1,goles_encajados_E1,Goles_encajados_propia_puerta_E1,Porterias_a_cero_E1,Paradas_E1,Paradas_en_libres_directo_E1,Paradas-tras_libre_indirecto_E1,Penaltis_parados_E1,Balones_blocados_E1,Balones_blocados_por arriba_E1,Balones_blocados_por_abajo_E1,Despejes_de_puños_E1,Tarjetas_amarillas_E1,Tarjetas_rojas_E1,Faltas_cometidas_E1,Faltas_cometidas_tercio_def_E1,Faltas_cometidas_en_campo_propio_E1,Goles_dentro_area_E2,Goles_Fuera_Area_E2,Disparos_totales_E2,Disparos_a_puerta_E2,Disparos_fuera_E2,Disparo_Bloqueados_E2,Disparos_Al palo_E2,Disparos_Larguero_E2,Disparos_Poste_E2,Disparos_a_puerta_fuera_del_area_E2,Disparos_fuera_desde_fuera_del_area_E2,Asistencias_E2,Penaltis_marcados_E2,Penaltis_fallados_E2,Penaltis_forzados_E2,Ataques_E2,Oportunidades_claras_E2,Saques_de_esquina_sacados_E2,Fueras_de_juego_E2,Regates_E2,Ataques_tercio_ofensivo_E2,Ataques_zonas_clave_E2,Carreras_hacia_el_area_E2,Posesion_E2,Precision_pase_E2,Pases_completados_E2,Pases_realizados_E2,Pases_cortos_completados_E2,Pases_media_distancia_completados_E2,Pases_en_largo_completados_E2,Pases_completados_atras_E2,Pases_completadosa_izquierda_E2,Pases_completados_derecha_E2,Libres_directos_sacados_E2,Centros__tercio_ofensivo_E2,Pases_zonas_clave_E2,Pases_al_area_E2,Precision_en_el_centro_E2,Centros_completados_E2,Centros_realizados_E2,Tiempo_de_posesion_E2,Balones_recuperados_E2,Bloqueos_E2,Penaltis_cometidos_E2,Entradas_E2,Entradas_con_exito_E2,Entradas_perdidas_E2,Despejes_completados_E2,Despejes_realizados_E2,goles_encajados_E2,Goles_encajados_propia_puerta_E2,Porterias_a_cero_E2,Paradas_E2,Paradas_en_libres_directo_E2,Paradas-tras_libre_indirecto_E2,Penaltis_parados_E2,Balones_blocados_E2,Balones_blocados_por arriba_E2,Balones_blocados_por_abajo_E2,Despejes_de_puños_E2,Tarjetas_amarillas_E2,Tarjetas_rojas_E2,Faltas_cometidas_E2,Faltas_cometidas_tercio_def_E2,Faltas_cometidas_en_campo_propio_E2,media11_titular_E1,media11_titular_E2,Torneo,Confederacion_E1,Confederacion_E2
SEL-EURO-2020-8513121,Final,2021-06-11,Turquía,1,Italia,0,3,,,3,0,1,2,0,,,,,,,,,,1.0,2,2,6,40,,,37,78.3,282,360,,,24,,,,8,,,,25.0,2,8,,17,,,11,6,5,,26,3,,0,6,,,,,,,,2.0,,10,,,,,24,8,11,5,0,,,,,,,,,,2.0,8,4,10,77,,,63,87.0,536,616,,,20,,,,10,,,,24.0,6,25,,13,,,5,4,1,,4,0,,1,0,,,,,,,,0.0,,8,,,6.54,7.43,UEFA Eurocopa,UEFA,UEFA
SEL-EURO-2020-8513111,Final,2021-06-12,Gales,1,Suiza,1,1,,,9,2,1,6,0,,,,,,,,,,0.0,4,0,2,37,,,36,82.0,232,283,,,26,,,,9,,,,27.8,5,18,,9,,,7,3,4,,28,1,,0,3,,,,,,,,1.0,,6,,,,,18,4,7,7,0,,,,,,,,,,4.0,12,4,8,55,,,64,88.2,458,519,,,21,,,,6,,,,36.0,9,25,,6,,,11,8,3,,10,1,,0,1,,,,,,,,2.0,,9,,,6.81,7.13,UEFA Eurocopa,UEFA,UEFA
SEL-EURO-2020-8513122,Final,2021-06-12,Dinamarca,1,Finlandia,0,1,,,22,6,10,6,0,,,,,,,,,,1.0,9,0,3,80,,,70,85.3,540,633,,,19,,,,12,,,,17.6,6,34,,8,,,10,4,6,,5,1,,0,0,,,,,,,,0.0,,11,,,,,1,1,0,0,0,,,,,,,,,,1.0,0,1,2,25,,,30,67.8,192,283,,,17,,,,9,,,,16.7,1,6,,22,,,17,7,10,,33,0,,1,6,,,,,,,,2.0,,12,,,6.9,7.16,UEFA Eurocopa,UEFA,UEFA
SEL-EURO-2020-8513112,Final,2021-06-12,Bélgica,1,Rusia,3,0,,,9,4,3,2,0,,,,,,,,,,3.0,2,0,12,45,,,66,89.7,647,721,,,22,,,,10,,,,,0,9,,9,,,8,7,1,,14,0,,1,1,,,,,,,,,,9,,,,,5,1,3,1,0,,,,,,,,,,0.0,4,4,4,38,,,34,74.3,263,354,,,22,,,,8,,,,18.8,3,16,,7,,,23,17,6,,16,3,,0,1,,,,,,,,,,11,,,7.09,6.31,UEFA Eurocopa,UEFA,UEFA
SEL-EURO-2020-8513120,Final,2021-06-13,Inglaterra,1,Croacia,1,0,,,8,2,4,2,1,,,,,,,,,,2.0,1,2,6,54,,,50,84.1,381,453,,,17,,,,9,,,,20.0,1,5,,11,,,11,3,8,,7,0,,1,2,,,,,,,,1.0,,9,,,,,8,2,5,1,0,,,,,,,,,,0.0,1,2,6,44,,,50,84.0,384,457,,,24,,,,8,,,,16.7,2,12,,3,,,18,7,11,,10,1,,0,1,,,,,,,,3.0,,10,,,6.95,6.77,UEFA Eurocopa,UEFA,UEFA
SEL-EURO-2020-8602459,Final,2021-06-13,Austria,1,Macedonia del Norte,3,1,,,10,6,2,2,0,,,,,,,,,,5.0,4,1,6,68,,,63,83.8,466,556,,,39,,,,16,,,,33.3,6,18,,8,,,18,13,5,,6,1,,0,1,,,,,,,,1.0,,13,,,,,7,2,3,2,0,,,,,,,,,,1.0,0,0,7,57,,,37,72.4,241,333,,,30,,,,13,,,,25.0,1,4,,8,,,22,11,11,,19,3,,0,3,,,,,,,,2.0,,16,,,6.83,6.58,UEFA Eurocopa,UEFA,UEFA
SEL-EURO-2020-8513129,Final,2021-06-13,Países Bajos,1,Ucrania,3,2,,,15,7,4,4,0,,,,,,,,,,3.0,5,2,13,77,,,62,89.7,593,661,,,21,,,,8,,,,28.6,4,14,,6,,,10,6,4,,8,2,,0,3,,,,,,,,0.0,,8,,,,,7,5,1,1,0,,,,,,,,,,1.0,1,1,7,25,,,38,81.9,339,414,,,23,,,,7,,,,42.9,3,7,,14,,,28,12,16,,21,3,,0,4,,,,,,,,1.0,,8,,,6.89,6.88,UEFA Eurocopa,UEFA,UEFA
SEL-EURO-2020-8602458,Final,2021-06-14,Escocia,1,República Checa,0,2,,,19,4,4,11,1,,,,,,,,,,2.0,6,1,15,76,,,58,76.0,358,471,,,27,,,,6,,,,37.0,10,27,,12,,,9,5,4,,10,2,,0,5,,,,,,,,,,6,,,,,10,7,3,0,0,,,,,,,,,,2.0,6,2,7,47,,,42,69.3,241,348,,,20,,,,6,,,,36.8,7,19,,12,,,14,6,8,,30,0,,1,5,,,,,,,,,,6,,,6.81,7.3,UEFA Eurocopa,UEFA,UEFA
SEL-EURO-2020-8602452,Final,2021-06-14,Polonia,1,Eslovaquia,1,2,,,17,3,10,4,0,,,,,,,,,,1.0,5,0,9,74,,,57,85.9,457,532,,,20,,,,13,,,,25.7,9,35,,6,,,11,3,8,,7,2,,0,1,,,,,,,,2.0,1.0,15,,,,,11,2,4,5,1,,,,,,,,,,0.0,2,1,9,29,,,43,81.7,335,410,,,21,,,,15,,,,50.0,5,10,,19,,,10,6,4,,31,1,,0,2,,,,,,,,1.0,0.0,13,,,6.77,7.0,UEFA Eurocopa,UEFA,UEFA
SEL-EURO-2020-8513124,Final,2021-06-14,España,1,Suecia,0,0,,,17,5,8,4,0,,,,,,,,,,5.0,6,2,6,79,,,85,90.4,829,917,,,44,,,,11,,,,24.1,7,29,,3,,,12,7,5,,6,0,,1,0,,,,,,,,0.0,,7,,,,,4,1,2,1,1,,,,,,,,,,2.0,1,1,3,36,,,15,54.9,89,162,,,11,,,,6,,,,,0,4,,21,,,5,2,3,,37,0,,1,5,,,,,,,,1.0,,11,,,7.32,6.89,UEFA Eurocopa,UEFA,UEFA
