Partido_id,Fase,Fecha,Equipo1,Es_Local_E1,Equipo2,EQUIPO1_GOLES,EQUIPO2_GOLES,Goles_dentro_area_E1,Goles_Fuera_Area_E1,Disparos_totales_E1,Disparos_a_puerta_E1,Disparos_fuera_E1,Disparo_Bloqueados_E1,Disparos_Al palo_E1,Disparos_Larguero_E1,Disparos_Poste_E1,Disparos_a_puerta_fuera_del_area_E1,Disparos_fuera_desde_fuera_del_area_E1,Asistencias_E1,Penaltis_marcados_E1,Penaltis_fallados_E1,Penaltis_forzados_E1,Ataques_E1,Oportunidades_claras_E1,Saques_de_esquina_sacados_E1,Fueras_de_juego_E1,Regates_E1,Ataques_tercio_ofensivo_E1,Ataques_zonas_clave_E1,Carreras_hacia_el_area_E1,Posesion_E1,Precision_pase_E1,Pases_completados_E1,Pases_realizados_E1,Pases_cortos_completados_E1,Pases_media_distancia_completados_E1,Pases_en_largo_completados_E1,Pases_completados_atras_E1,Pases_completadosa_izquierda_E1,Pases_completados_derecha_E1,Libres_directos_sacados_E1,Centros__tercio_ofensivo_E1,Pases_zonas_clave_E1,Pases_al_area_E1,Precision_en_el_centro_E1,Centros_completados_E1,Centros_realizados_E1,Tiempo_de_posesion_E1,Balones_recuperados_E1,Bloqueos_E1,Penaltis_cometidos_E1,Entradas_E1,Entradas_con_exito_E1,Entradas_perdidas_E1,Despejes_completados_E1,Despejes_realizados_E1,goles_encajados_E1,Goles_encajados_propia_puerta_E1,Porterias_a_cero_E1,Paradas_E1,Paradas_en_libres_directo_E1,Paradas-tras_libre_indirecto_E1,Penaltis_parados_E1,Balones_blocados_E1,Balones_blocados_por arriba_E1,Balones_blocados_por_abajo_E1,Despejes_de_puños_E1,Tarjetas_amarillas_E1,Tarjetas_rojas_E1,Faltas_cometidas_E1,Faltas_cometidas_tercio_def_E1,Faltas_cometidas_en_campo_propio_E1,Goles_dentro_area_E2,Goles_Fuera_Area_E2,Disparos_totales_E2,Disparos_a_puerta_E2,Disparos_fuera_E2,Disparo_Bloqueados_E2,Disparos_Al palo_E2,Disparos_Larguero_E2,Disparos_Poste_E2,Disparos_a_puerta_fuera_del_area_E2,Disparos_fuera_desde_fuera_del_area_E2,Asistencias_E2,Penaltis_marcados_E2,Penaltis_fallados_E2,Penaltis_forzados_E2,Ataques_E2,Oportunidades_claras_E2,Saques_de_esquina_sacados_E2,Fueras_de_juego_E2,Regates_E2,Ataques_tercio_ofensivo_E2,Ataques_zonas_clave_E2,Carreras_hacia_el_area_E2,Posesion_E2,Precision_pase_E2,Pases_completados_E2,Pases_realizados_E2,Pases_cortos_completados_E2,Pases_media_distancia_completados_E2,Pases_en_largo_completados_E2,Pases_completados_atras_E2,Pases_completadosa_izquierda_E2,Pases_completados_derecha_E2,Libres_directos_sacados_E2,Centros__tercio_ofensivo_E2,Pases_zonas_clave_E2,Pases_al_area_E2,Precision_en_el_centro_E2,Centros_completados_E2,Centros_realizados_E2,Tiempo_de_posesion_E2,Balones_recuperados_E2,Bloqueos_E2,Penaltis_cometidos_E2,Entradas_E2,Entradas_con_exito_E2,Entradas_perdidas_E2,Despejes_completados_E2,Despejes_realizados_E2,goles_encajados_E2,Goles_encajados_propia_puerta_E2,Porterias_a_cero_E2,Paradas_E2,Paradas_en_libres_directo_E2,Paradas-tras_libre_indirecto_E2,Penaltis_parados_E2,Balones_blocados_E2,Balones_blocados_por arriba_E2,Balones_blocados_por_abajo_E2,Despejes_de_puños_E2,Tarjetas_amarillas_E2,Tarjetas_rojas_E2,Faltas_cometidas_E2,Faltas_cometidas_tercio_def_E2,Faltas_cometidas_en_campo_propio_E2,media11_titular_E1,media11_titular_E2,Torneo,Confederacion_E1,Confederacion_E2
SEL-GOLD_CUP-2021-9615040,Final,2021-07-10,México,1,Trinidad y Tobago,0,0,,,30,7,13,10,1,,,,,,,,,,2,15,4.0,9,96,,,83,90.1,626,695,,,51,,,,6,,,,18.6,8,43,,4,,,7,3,4,,2,0,,1,0,,,,,,,,1.0,,8,,,,,4,0,3,1,0,,,,,,,,,,0,1,0.0,6,23,,,17,48.3,73,151,,,14,,,,7,,,,20.0,1,5,,18,,,12,7,5,,42,0,,1,7,,,,,,,,1.0,,6,,,7.35,7.04,CONCACAF Gold Cup,CONCACAF,CONCACAF
SEL-GOLD_CUP-2021-9528269,Final,2021-07-11,Canadá,1,Martinique,4,1,,,14,5,7,2,0,,,,,,,,,,4,6,1.0,6,73,,,65,89.4,533,596,,,30,,,,16,,,,23.8,5,21,,21,,,11,6,5,,11,1,,0,1,,,,,,,,6.0,,22,,,,,5,2,2,1,0,,,,,,,,,,0,2,0.0,7,41,,,35,72.9,229,314,,,17,,,,21,,,,25.0,2,8,,15,,,13,10,3,,19,4,,0,1,,,,,,,,3.0,,16,,,7.15,6.4,CONCACAF Gold Cup,CONCACAF,Desconocido
SEL-GOLD_CUP-2021-9615038,Final,2021-07-11,USA,1,Haití,1,0,,,13,5,5,3,2,,,,,,,,,,3,5,4.0,5,43,,,63,89.6,532,594,,,27,,,,14,,,,25.0,6,24,,9,,,9,8,1,,10,0,,1,3,,,,,,,,2.0,,14,,,,,10,3,5,2,0,,,,,,,,,,0,0,0.0,4,39,,,37,81.6,284,348,,,34,,,,14,,,,9.1,1,11,,15,,,10,7,3,,18,1,,0,4,,,,,,,,1.0,,14,,,7.15,6.9,CONCACAF Gold Cup,CONCACAF,CONCACAF
SEL-GOLD_CUP-2021-9622642,Final,2021-07-11,El Salvador,1,Guatemala,2,0,,,21,6,11,4,0,,,,,,,,,,1,10,2.0,11,92,,,69,86.1,494,574,,,33,,,,11,,,,24.1,7,29,,13,,,17,5,12,,5,0,,1,1,,,,,,,,1.0,,9,,,,,4,1,3,0,0,,,,,,,,,,0,0,2.0,4,40,,,31,65.3,171,262,,,26,,,,9,,,,,0,4,,13,,,21,14,7,,30,2,,0,4,,,,,,,,2.0,,11,,,7.31,6.62,CONCACAF Gold Cup,CONCACAF,CONCACAF
SEL-GOLD_CUP-2021-9528265,Final,2021-07-12,Jamaica,1,Suriname,2,0,,,7,6,1,0,0,,,,,,,,,,1,3,2.0,5,47,,,47,82.4,314,381,,,31,,,,12,,,,10.0,1,10,,8,,,11,6,5,,22,0,,1,3,,,,,,,,1.0,,15,,,,,10,3,4,3,0,,,,,,,,,,1,5,1.0,9,51,,,53,84.2,356,423,,,25,,,,15,,,,7.1,1,14,,10,,,11,4,7,,15,2,,0,4,,,,,,,,3.0,,12,,,7.02,6.68,CONCACAF Gold Cup,CONCACAF,Desconocido
SEL-GOLD_CUP-2021-9615033,Final,2021-07-12,Costa Rica,1,Guadeloupe,3,1,,,10,5,3,2,0,,,,,,,,,,2,4,1.0,0,56,,,62,86.0,518,602,,,30,,,,11,,,,25.0,3,12,,11,,,14,8,6,,12,1,,0,2,,,,,,,,4.0,0.0,19,,,,,8,3,4,1,0,,,,,,,,,,1,2,2.0,9,36,,,38,80.3,289,360,,,27,,,,19,,,,9.1,1,11,,18,,,12,9,3,,14,3,,0,2,,,,,,,,2.0,1.0,11,,,6.93,6.55,CONCACAF Gold Cup,CONCACAF,Desconocido
SEL-GOLD_CUP-2021-9528255,Final,2021-07-13,Catar,1,Panamá,3,3,,,15,6,5,4,0,,,,,,,,,,5,2,1.0,3,51,,,46,86.3,364,422,,,27,,,,12,,,,25.0,3,12,,10,,,13,9,4,,21,3,,0,3,,,,,,,,1.0,,8,,,,,11,6,3,2,0,,,,,,,,,,2,5,1.0,11,56,,,54,89.8,449,500,,,34,,,,8,,,,8.0,2,25,,7,,,5,4,1,,9,3,,0,3,,,,,,,,0.0,,12,,,6.94,6.8,CONCACAF Gold Cup,AFC,CONCACAF
SEL-GOLD_CUP-2021-9528266,Final,2021-07-13,Honduras,1,Grenada,4,0,,,11,4,5,2,0,,,,,,,,,,4,3,1.0,5,57,,,57,84.0,373,444,,,24,,,,5,,,,20.0,3,15,,7,,,7,6,1,,16,0,,1,2,,,,,,,,,,13,,,,,10,3,7,0,0,,,,,,,,,,1,3,0.0,5,51,,,43,75.4,255,338,,,23,,,,11,,,,28.6,4,14,,11,,,9,6,3,,10,4,,0,0,,,,,,,,,,5,,,7.17,6.45,CONCACAF Gold Cup,CONCACAF,Desconocido
SEL-GOLD_CUP-2021-9615037,Semifinals,2021-07-14,Trinidad y Tobago,1,El Salvador,0,2,,,9,2,4,3,0,,,,,,,,,,0,4,1.0,11,40,,,41,73.3,239,326,,,23,,,,24,,,,14.3,2,14,,11,,,7,6,1,,14,2,,0,6,,,,,,,,2.0,,15,,,,,19,8,5,6,1,,,,,,,,,,4,4,2.0,9,56,,,59,83.9,400,477,,,33,,,,14,,,,7.7,1,13,,20,,,16,9,7,,25,0,,1,2,,,,,,,,1.0,,24,,,6.63,7.25,CONCACAF Gold Cup,CONCACAF,CONCACAF
SEL-GOLD_CUP-2021-9622641,Semifinals,2021-07-14,Guatemala,1,México,0,3,,,4,1,1,2,0,,,,,,,,,,0,3,1.0,7,40,,,30,74.1,206,278,,,25,,,,13,,,,25.0,2,8,,11,,,19,13,6,,19,3,,0,5,,,,,,,,2.0,,15,,,,,17,8,7,2,0,,,,,,,,,,9,5,1.0,13,72,,,70,90.2,610,676,,,23,,,,15,,,,20.0,3,15,,12,,,20,11,9,,8,0,,1,1,,,,,,,,0.0,,13,,,6.33,7.49,CONCACAF Gold Cup,CONCACAF,CONCACAF
