Partido_id,Fase,Fecha,Equipo1,Es_Local_E1,Equipo2,EQUIPO1_GOLES,EQUIPO2_GOLES,Goles_dentro_area_E1,Goles_Fuera_Area_E1,Disparos_totales_E1,Disparos_a_puerta_E1,Disparos_fuera_E1,Disparo_Bloqueados_E1,Disparos_Al palo_E1,Disparos_Larguero_E1,Disparos_Poste_E1,Disparos_a_puerta_fuera_del_area_E1,Disparos_fuera_desde_fuera_del_area_E1,Asistencias_E1,Penaltis_marcados_E1,Penaltis_fallados_E1,Penaltis_forzados_E1,Ataques_E1,Oportunidades_claras_E1,Saques_de_esquina_sacados_E1,Fueras_de_juego_E1,Regates_E1,Ataques_tercio_ofensivo_E1,Ataques_zonas_clave_E1,Carreras_hacia_el_area_E1,Posesion_E1,Precision_pase_E1,Pases_completados_E1,Pases_realizados_E1,Pases_cortos_completados_E1,Pases_media_distancia_completados_E1,Pases_en_largo_completados_E1,Pases_completados_atras_E1,Pases_completadosa_izquierda_E1,Pases_completados_derecha_E1,Libres_directos_sacados_E1,Centros__tercio_ofensivo_E1,Pases_zonas_clave_E1,Pases_al_area_E1,Precision_en_el_centro_E1,Centros_completados_E1,Centros_realizados_E1,Tiempo_de_posesion_E1,Balones_recuperados_E1,Bloqueos_E1,Penaltis_cometidos_E1,Entradas_E1,Entradas_con_exito_E1,Entradas_perdidas_E1,Despejes_completados_E1,Despejes_realizados_E1,goles_encajados_E1,Goles_encajados_propia_puerta_E1,Porterias_a_cero_E1,Paradas_E1,Paradas_en_libres_directo_E1,Paradas-tras_libre_indirecto_E1,Penaltis_parados_E1,Balones_blocados_E1,Balones_blocados_por arriba_E1,Balones_blocados_por_abajo_E1,Despejes_de_puños_E1,Tarjetas_amarillas_E1,Tarjetas_rojas_E1,Faltas_cometidas_E1,Faltas_cometidas_tercio_def_E1,Faltas_cometidas_en_campo_propio_E1,Goles_dentro_area_E2,Goles_Fuera_Area_E2,Disparos_totales_E2,Disparos_a_puerta_E2,Disparos_fuera_E2,Disparo_Bloqueados_E2,Disparos_Al palo_E2,Disparos_Larguero_E2,Disparos_Poste_E2,Disparos_a_puerta_fuera_del_area_E2,Disparos_fuera_desde_fuera_del_area_E2,Asistencias_E2,Penaltis_marcados_E2,Penaltis_fallados_E2,Penaltis_forzados_E2,Ataques_E2,Oportunidades_claras_E2,Saques_de_esquina_sacados_E2,Fueras_de_juego_E2,Regates_E2,Ataques_tercio_ofensivo_E2,Ataques_zonas_clave_E2,Carreras_hacia_el_area_E2,Posesion_E2,Precision_pase_E2,Pases_completados_E2,Pases_realizados_E2,Pases_cortos_completados_E2,Pases_media_distancia_completados_E2,Pases_en_largo_completados_E2,Pases_completados_atras_E2,Pases_completadosa_izquierda_E2,Pases_completados_derecha_E2,Libres_directos_sacados_E2,Centros__tercio_ofensivo_E2,Pases_zonas_clave_E2,Pases_al_area_E2,Precision_en_el_centro_E2,Centros_completados_E2,Centros_realizados_E2,Tiempo_de_posesion_E2,Balones_recuperados_E2,Bloqueos_E2,Penaltis_cometidos_E2,Entradas_E2,Entradas_con_exito_E2,Entradas_perdidas_E2,Despejes_completados_E2,Despejes_realizados_E2,goles_encajados_E2,Goles_encajados_propia_puerta_E2,Porterias_a_cero_E2,Paradas_E2,Paradas_en_libres_directo_E2,Paradas-tras_libre_indirecto_E2,Penaltis_parados_E2,Balones_blocados_E2,Balones_blocados_por arriba_E2,Balones_blocados_por_abajo_E2,Despejes_de_puños_E2,Tarjetas_amarillas_E2,Tarjetas_rojas_E2,Faltas_cometidas_E2,Faltas_cometidas_tercio_def_E2,Faltas_cometidas_en_campo_propio_E2,media11_titular_E1,media11_titular_E2,Torneo,Confederacion_E1,Confederacion_E2
SEL-NATIONS_LEAGUE-2022-23-10023336,Ronda 1,2022-06-01,Polonia,1,Gales,2,1,,,15,3,5,7,0,,,,,,,,,,3.0,3,2.0,8,55,,,55,81.5,384,471,,,25,,,,10,,,,10.5,2,19,,12,,,12,5,7,,26,1,,0,1,,,,,,,,1.0,,15,,,,,14,2,7,5,0,,,,,,,,,,0.0,4,2.0,15,64,,,45,76.6,288,376,,,30,,,,15,,,,10.0,2,20,,11,,,23,12,11,,15,2,,0,2,,,,,,,,2.0,,10,,,6.69,6.98,UEFA Nations League,UEFA,UEFA
SEL-NATIONS_LEAGUE-2022-23-10225877,Ronda 1,2022-06-02,Chipre,1,Kosovo,0,2,,,8,0,4,4,0,,,,,,,,,,0.0,5,1.0,14,45,,,46,82.4,365,443,,,20,,,,13,,,,,0,10,,7,,,15,7,8,,19,2,,0,5,,,,,,,,1.0,,8,,,,,16,7,7,2,1,,,,,,,,,,2.0,5,2.0,11,64,,,54,85.2,438,514,,,32,,,,8,,,,26.3,5,19,,12,,,14,7,7,,13,0,,1,0,,,,,,,,4.0,,13,,,6.73,7.26,UEFA Nations League,UEFA,UEFA
SEL-NATIONS_LEAGUE-2022-23-10023417,Ronda 1,2022-06-02,Bulgaria,1,Macedonia del Norte,1,1,,,4,1,1,2,0,,,,,,,,,,1.0,1,3.0,4,63,,,44,69.5,251,361,,,38,,,,11,,,,14.3,1,7,,14,,,17,11,6,,21,1,,0,4,,,,,,,,2.0,,14,,,,,15,5,5,5,0,,,,,,,,,,1.0,5,3.0,5,59,,,56,74.9,338,451,,,29,,,,14,,,,13.3,2,15,,5,,,8,5,3,,3,1,,0,0,,,,,,,,2.0,,12,,,6.91,6.69,UEFA Nations League,UEFA,UEFA
SEL-NATIONS_LEAGUE-2022-23-10023380,Ronda 1,2022-06-02,Georgia,1,Gibraltar,4,0,,,28,13,10,5,2,,,,,,,,,,5.0,8,3.0,12,98,,,69,89.1,594,667,,,28,,,,7,,,,28.6,4,14,,15,,,12,9,3,,5,0,,1,0,,,,,,,,2.0,,12,,,,,1,0,1,0,0,,,,,,,,,,0.0,0,0.0,6,27,,,31,71.7,208,290,,,21,,,,11,,,,,0,2,,7,,,17,9,8,,24,4,,0,8,,,,,,,,3.0,,7,,,7.59,6.42,UEFA Nations League,UEFA,UEFA
SEL-NATIONS_LEAGUE-2022-23-10225901,Ronda 1,2022-06-02,Estonia,1,San Marino,2,0,,,11,4,6,1,0,,,,,,,,,,3.0,4,3.0,9,67,,,74,88.9,571,642,,,36,,,,10,,,,37.5,6,16,,9,,,17,10,7,,13,0,,1,3,,,,,,,,0.0,,11,,,,,7,4,3,0,0,,,,,,,,,,1.0,1,1.0,9,32,,,26,63.0,138,219,,,23,,,,11,,,,11.1,1,9,,9,,,22,15,7,,14,2,,0,2,,,,,,,,2.0,,10,,,7.15,6.53,UEFA Nations League,UEFA,UEFA
SEL-NATIONS_LEAGUE-2022-23-10023331,Ronda 1,2022-06-02,República Checa,1,Suiza,2,1,,,8,3,5,0,1,,,,,,,,,,3.0,3,2.0,4,59,,,38,69.3,232,335,,,33,,,,11,,,,14.3,2,14,,15,,,11,7,4,,21,1,,0,6,,,,,,,,2.0,,9,,,,,15,7,6,2,0,,,,,,,,,,4.0,8,2.0,2,66,,,62,82.8,456,551,,,33,,,,9,,,,29.2,7,24,,16,,,11,5,6,,18,2,,0,2,,,,,,,,2.0,,12,,,7.05,6.75,UEFA Nations League,UEFA,UEFA
SEL-NATIONS_LEAGUE-2022-23-10023333,Ronda 1,2022-06-02,España,1,Portugal,1,1,,,11,2,8,1,0,,,,,,,,,,3.0,5,1.0,10,44,,,61,87.4,540,618,,,38,,,,14,,,,,0,14,,10,,,13,6,7,,13,1,,0,1,,,,,,,,3.0,,15,,,,,7,2,4,1,0,,,,,,,,,,2.0,5,4.0,6,39,,,39,80.4,315,392,,,31,,,,15,,,,17.6,3,17,,11,,,16,9,7,,16,1,,0,1,,,,,,,,5.0,,14,,,6.86,6.75,UEFA Nations League,UEFA,UEFA
SEL-NATIONS_LEAGUE-2022-23-10023320,Ronda 1,2022-06-02,Israel,1,Islandia,2,2,,,17,5,7,5,0,,,,,,,,,,5.0,3,1.0,8,66,,,65,82.3,415,504,,,20,,,,11,,,,31.6,6,19,,2,,,11,7,4,,16,2,,0,3,,,,,,,,1.0,,15,,,,,9,5,3,1,1,,,,,,,,,,3.0,5,2.0,5,41,,,35,64.7,178,275,,,16,,,,14,,,,25.0,3,12,,6,,,17,13,4,,23,2,,0,3,,,,,,,,3.0,,11,,,6.75,6.9,UEFA Nations League,UEFA,UEFA
SEL-NATIONS_LEAGUE-2022-23-10023371,Ronda 1,2022-06-02,Serbia,1,Noruega,0,1,,,13,5,2,6,0,,,,,,,,,,2.0,12,1.0,3,76,,,67,84.5,511,605,,,32,,,,7,,,,25.6,11,43,,10,,,14,10,4,,4,1,,0,1,,,,,,,,1.0,,10,,,,,4,2,2,0,0,,,,,,,,,,2.0,0,0.0,3,45,,,33,69.4,220,317,,,23,,,,9,,,,,0,6,,11,,,13,7,6,,32,0,,1,5,,,,,,,,2.0,,8,,,6.91,7.06,UEFA Nations League,UEFA,UEFA
SEL-NATIONS_LEAGUE-2022-23-10023346,Ronda 1,2022-06-02,Eslovenia,1,Suecia,0,2,,,12,3,4,5,0,,,,,,,,,,2.0,2,2.0,6,44,,,54,83.6,424,507,,,25,,,,11,,,,25.0,4,16,,14,,,19,13,6,,13,2,,0,2,,,,,,,,2.0,,11,,,,,10,4,4,2,1,,,,,,,,,,2.0,4,0.0,4,53,,,46,79.4,346,436,,,29,,,,11,,,,20.0,3,15,,6,,,10,7,3,,11,0,,1,3,,,,,,,,3.0,,12,,,6.77,7.03,UEFA Nations League,UEFA,UEFA
