Partido_id,Fase,Fecha,Equipo1,Es_Local_E1,Equipo2,EQUIPO1_GOLES,EQUIPO2_GOLES,Goles_dentro_area_E1,Goles_Fuera_Area_E1,Disparos_totales_E1,Disparos_a_puerta_E1,Disparos_fuera_E1,Disparo_Bloqueados_E1,Disparos_Al palo_E1,Disparos_Larguero_E1,Disparos_Poste_E1,Disparos_a_puerta_fuera_del_area_E1,Disparos_fuera_desde_fuera_del_area_E1,Asistencias_E1,Penaltis_marcados_E1,Penaltis_fallados_E1,Penaltis_forzados_E1,Ataques_E1,Oportunidades_claras_E1,Saques_de_esquina_sacados_E1,Fueras_de_juego_E1,Regates_E1,Ataques_tercio_ofensivo_E1,Ataques_zonas_clave_E1,Carreras_hacia_el_area_E1,Posesion_E1,Precision_pase_E1,Pases_completados_E1,Pases_realizados_E1,Pases_cortos_completados_E1,Pases_media_distancia_completados_E1,Pases_en_largo_completados_E1,Pases_completados_atras_E1,Pases_completadosa_izquierda_E1,Pases_completados_derecha_E1,Libres_directos_sacados_E1,Centros__tercio_ofensivo_E1,Pases_zonas_clave_E1,Pases_al_area_E1,Precision_en_el_centro_E1,Centros_completados_E1,Centros_realizados_E1,Tiempo_de_posesion_E1,Balones_recuperados_E1,Bloqueos_E1,Penaltis_cometidos_E1,Entradas_E1,Entradas_con_exito_E1,Entradas_perdidas_E1,Despejes_completados_E1,Despejes_realizados_E1,goles_encajados_E1,Goles_encajados_propia_puerta_E1,Porterias_a_cero_E1,Paradas_E1,Paradas_en_libres_directo_E1,Paradas-tras_libre_indirecto_E1,Penaltis_parados_E1,Balones_blocados_E1,Balones_blocados_por arriba_E1,Balones_blocados_por_abajo_E1,Despejes_de_puños_E1,Tarjetas_amarillas_E1,Tarjetas_rojas_E1,Faltas_cometidas_E1,Faltas_cometidas_tercio_def_E1,Faltas_cometidas_en_campo_propio_E1,Goles_dentro_area_E2,Goles_Fuera_Area_E2,Disparos_totales_E2,Disparos_a_puerta_E2,Disparos_fuera_E2,Disparo_Bloqueados_E2,Disparos_Al palo_E2,Disparos_Larguero_E2,Disparos_Poste_E2,Disparos_a_puerta_fuera_del_area_E2,Disparos_fuera_desde_fuera_del_area_E2,Asistencias_E2,Penaltis_marcados_E2,Penaltis_fallados_E2,Penaltis_forzados_E2,Ataques_E2,Oportunidades_claras_E2,Saques_de_esquina_sacados_E2,Fueras_de_juego_E2,Regates_E2,Ataques_tercio_ofensivo_E2,Ataques_zonas_clave_E2,Carreras_hacia_el_area_E2,Posesion_E2,Precision_pase_E2,Pases_completados_E2,Pases_realizados_E2,Pases_cortos_completados_E2,Pases_media_distancia_completados_E2,Pases_en_largo_completados_E2,Pases_completados_atras_E2,Pases_completadosa_izquierda_E2,Pases_completados_derecha_E2,Libres_directos_sacados_E2,Centros__tercio_ofensivo_E2,Pases_zonas_clave_E2,Pases_al_area_E2,Precision_en_el_centro_E2,Centros_completados_E2,Centros_realizados_E2,Tiempo_de_posesion_E2,Balones_recuperados_E2,Bloqueos_E2,Penaltis_cometidos_E2,Entradas_E2,Entradas_con_exito_E2,Entradas_perdidas_E2,Despejes_completados_E2,Despejes_realizados_E2,goles_encajados_E2,Goles_encajados_propia_puerta_E2,Porterias_a_cero_E2,Paradas_E2,Paradas_en_libres_directo_E2,Paradas-tras_libre_indirecto_E2,Penaltis_parados_E2,Balones_blocados_E2,Balones_blocados_por arriba_E2,Balones_blocados_por_abajo_E2,Despejes_de_puños_E2,Tarjetas_amarillas_E2,Tarjetas_rojas_E2,Faltas_cometidas_E2,Faltas_cometidas_tercio_def_E2,Faltas_cometidas_en_campo_propio_E2,media11_titular_E1,media11_titular_E2,Torneo,Confederacion_E1,Confederacion_E2
SEL-WC_QUALS_UEFA-2026-13233398,Ronda 1,2025-03-21,Chipre,1,San Marino,2,0,,,26,11,10,5,1,,,,,,,,,,6.0,7,2.0,10,89,,54,70,87.8,567,646,,,28,,,,17,,,,36.0,9,25,,6,,,24,17,7,,9,0,,1,2.0,,,,,0.0,,,0.0,,14.0,,,,,5,2,2,1,0,,,,,,,,,,1.0,2,1.0,4,28,,10,30,70.9,200,282,,,18,,,,14,,,,33.3,2,6,,12,,,17,11,6,,37,2,,0,9.0,,,,,2.0,,,2.0,,17.0,,,7.68,6.77,Clasificatorias WC UEFA,UEFA,UEFA
SEL-WC_QUALS_UEFA-2026-13233402,Ronda 1,2025-03-21,Malta,1,Finlandia,0,1,,,19,6,6,7,0,,,,,,,,,,2.0,6,1.0,9,69,,25,58,88.6,490,553,,,39,,,,12,,,,23.5,4,17,,5,,,14,10,4,,26,1,,0,4.0,,,,,1.0,,,0.0,1.0,9.0,,,,,10,5,3,2,0,,,,,,,,,,4.0,3,0.0,6,58,,11,42,82.7,324,392,,,21,,,,9,,,,30.0,3,10,,4,,,17,9,8,,25,0,,1,6.0,,,,,1.0,,,1.0,0.0,12.0,,,7.06,7.02,Clasificatorias WC UEFA,UEFA,UEFA
SEL-WC_QUALS_UEFA-2026-13233401,Ronda 1,2025-03-21,Polonia,1,Lituania,1,0,,,24,7,4,13,0,,,,,,,,,,3.0,11,,8,84,,34,62,80.9,410,507,,,21,,,,18,,,,8.8,3,34,,6,,,19,6,13,,26,0,,1,2.0,,,,,0.0,,0.0,1.0,,14.0,,,,,8,2,2,4,0,,,,,,,,,,1.0,1,,4,53,,10,38,72.2,231,320,,,27,,,,14,,,,50.0,3,6,,18,,,16,10,6,,50,1,,0,6.0,,,,,1.0,,1.0,1.0,,18.0,,,7.2,7.06,Clasificatorias WC UEFA,UEFA,UEFA
SEL-WC_QUALS_UEFA-2026-13233397,Ronda 1,2025-03-21,Rumania,1,Bosnia,0,1,,,15,3,7,5,0,,,,,,,,,,2.0,5,0.0,9,59,,30,66,85.1,491,577,,,35,,,,25,,,,40.0,8,20,,12,,,7,2,5,,17,1,,0,0.0,,,,,1.0,,0.0,5.0,,14.0,,,,,5,1,2,2,0,,,,,,,,,,2.0,1,3.0,4,48,,10,34,69.6,211,303,,,18,,,,14,,,,28.6,2,7,,9,,,23,11,12,,33,0,,1,3.0,,,,,0.0,,1.0,3.0,,25.0,,,6.81,6.99,Clasificatorias WC UEFA,UEFA,UEFA
SEL-WC_QUALS_UEFA-2026-13233400,Ronda 1,2025-03-21,Andorra,1,Letonia,0,1,,,7,2,4,1,1,,,,,,,,,,,3,1.0,6,55,,7,37,62.7,188,300,,,31,,,,12,,,,18.8,3,16,,11,,,8,5,3,,25,1,,0,1.0,,,,,0.0,,0.0,0.0,,14.0,,,,,6,2,2,2,0,,,,,,,,,,,1,2.0,2,76,,9,63,79.4,433,545,,,28,,,,14,,,,27.3,3,11,,7,,,13,10,3,,25,0,,1,2.0,,,,,2.0,,1.0,2.0,,12.0,,,6.67,7.05,Clasificatorias WC UEFA,UEFA,UEFA
SEL-WC_QUALS_UEFA-2026-13233399,Ronda 1,2025-03-21,Inglaterra,1,Albania,2,0,,,12,6,2,4,2,,,,,,,,,,4.0,4,2.0,9,101,,34,74,94.0,811,863,,,17,,,,7,,,,42.9,6,14,,4,,,15,10,5,,9,0,,1,0.0,,,,,,,,0.0,,9.0,,,,,3,0,2,1,1,,,,,,,,,,0.0,1,2.0,7,31,,6,26,83.3,249,299,,,10,,,,9,,,,,0,6,,8,,,8,5,3,,29,2,,0,3.0,,,,,,,,1.0,,7.0,,,7.55,6.55,Clasificatorias WC UEFA,UEFA,UEFA
SEL-WC_QUALS_UEFA-2026-13233403,Ronda 1,2025-03-22,Liechtenstein,1,Macedonia del Norte,0,3,,,5,1,1,3,1,,,,,,,,,,0.0,0,2.0,10,24,,5,26,60.4,116,192,,,9,,,,7,,,,33.3,1,3,,8,,,26,15,11,,28,3,,0,6.0,,,,,,,,3.0,,12.0,,,,,17,9,3,5,0,,,,,,,,,,7.0,7,6.0,12,67,,29,74,87.3,490,561,,,28,,,,12,,,,35.7,5,14,,7,,,9,7,2,,6,0,,1,1.0,,,,,,,,1.0,,7.0,,,6.47,7.35,Clasificatorias WC UEFA,UEFA,UEFA
SEL-WC_QUALS_UEFA-2026-13233404,Ronda 1,2025-03-22,Moldavia,1,Noruega,0,5,,,10,4,4,2,0,,,,,,,,,,3.0,6,2.0,6,38,,14,31,79.4,212,267,,,16,,,,9,,,,6.7,1,15,,8,,,16,8,8,,37,5,,0,4.0,,,,,,,2.0,1.0,,10.0,,,,,24,8,6,10,0,,,,,,,,,,6.0,6,0.0,10,60,,37,69,90.8,565,622,,,22,,,,10,,,,20.0,5,25,,2,,,5,4,1,,17,0,,1,4.0,,,,,,,0.0,1.0,,9.0,,,6.29,7.53,Clasificatorias WC UEFA,UEFA,UEFA
SEL-WC_QUALS_UEFA-2026-13233405,Ronda 1,2025-03-22,Montenegro,1,Gibraltar,3,1,,,25,10,11,4,2,,,,,,,,,,6.0,7,3.0,9,48,,51,66,81.9,335,409,,,43,,,,12,,,,34.4,11,32,,1,,,20,13,7,,36,1,,0,1.0,,,,,2.0,,1.0,3.0,,20.0,,,,,7,2,2,3,2,,,,,,,,,,1.0,5,3.0,12,58,,6,34,62.9,132,210,,,14,,,,20,,,,,0,15,,4,,,15,9,6,,39,3,,0,5.0,,,,,1.0,,1.0,2.0,,12.0,,,7.27,6.72,Clasificatorias WC UEFA,UEFA,UEFA
SEL-WC_QUALS_UEFA-2026-13233406,Ronda 1,2025-03-22,Israel,1,Estonia,2,1,,,29,11,8,10,1,,,,,,,,,,6.0,14,6.0,8,66,,60,75,87.9,554,630,,,23,,,,16,,,,21.7,5,23,,4,,,6,5,1,,21,1,,0,2.0,,,,,0.0,,0.0,1.0,0.0,5.0,,,,,7,3,2,2,0,,,,,,,,,,0.0,1,2.0,1,40,,8,25,66.7,136,204,,,23,,,,5,,,,27.3,3,11,,15,,,19,9,10,,45,2,,0,9.0,,,,,1.0,,2.0,4.0,1.0,16.0,,,7.43,6.92,Clasificatorias WC UEFA,UEFA,UEFA
