Partido_id,Fase,Fecha,Equipo1,Es_Local_E1,Equipo2,EQUIPO1_GOLES,EQUIPO2_GOLES,Goles_dentro_area_E1,Goles_Fuera_Area_E1,Disparos_totales_E1,Disparos_a_puerta_E1,Disparos_fuera_E1,Disparo_Bloqueados_E1,Disparos_Al palo_E1,Disparos_Larguero_E1,Disparos_Poste_E1,Disparos_a_puerta_fuera_del_area_E1,Disparos_fuera_desde_fuera_del_area_E1,Asistencias_E1,Penaltis_marcados_E1,Penaltis_fallados_E1,Penaltis_forzados_E1,Ataques_E1,Oportunidades_claras_E1,Saques_de_esquina_sacados_E1,Fueras_de_juego_E1,Regates_E1,Ataques_tercio_ofensivo_E1,Ataques_zonas_clave_E1,Carreras_hacia_el_area_E1,Posesion_E1,Precision_pase_E1,Pases_completados_E1,Pases_realizados_E1,Pases_cortos_completados_E1,Pases_media_distancia_completados_E1,Pases_en_largo_completados_E1,Pases_completados_atras_E1,Pases_completadosa_izquierda_E1,Pases_completados_derecha_E1,Libres_directos_sacados_E1,Centros__tercio_ofensivo_E1,Pases_zonas_clave_E1,Pases_al_area_E1,Precision_en_el_centro_E1,Centros_completados_E1,Centros_realizados_E1,Tiempo_de_posesion_E1,Balones_recuperados_E1,Bloqueos_E1,Penaltis_cometidos_E1,Entradas_E1,Entradas_con_exito_E1,Entradas_perdidas_E1,Despejes_completados_E1,Despejes_realizados_E1,goles_encajados_E1,Goles_encajados_propia_puerta_E1,Porterias_a_cero_E1,Paradas_E1,Paradas_en_libres_directo_E1,Paradas-tras_libre_indirecto_E1,Penaltis_parados_E1,Balones_blocados_E1,Balones_blocados_por arriba_E1,Balones_blocados_por_abajo_E1,Despejes_de_puños_E1,Tarjetas_amarillas_E1,Tarjetas_rojas_E1,Faltas_cometidas_E1,Faltas_cometidas_tercio_def_E1,Faltas_cometidas_en_campo_propio_E1,Goles_dentro_area_E2,Goles_Fuera_Area_E2,Disparos_totales_E2,Disparos_a_puerta_E2,Disparos_fuera_E2,Disparo_Bloqueados_E2,Disparos_Al palo_E2,Disparos_Larguero_E2,Disparos_Poste_E2,Disparos_a_puerta_fuera_del_area_E2,Disparos_fuera_desde_fuera_del_area_E2,Asistencias_E2,Penaltis_marcados_E2,Penaltis_fallados_E2,Penaltis_forzados_E2,Ataques_E2,Oportunidades_claras_E2,Saques_de_esquina_sacados_E2,Fueras_de_juego_E2,Regates_E2,Ataques_tercio_ofensivo_E2,Ataques_zonas_clave_E2,Carreras_hacia_el_area_E2,Posesion_E2,Precision_pase_E2,Pases_completados_E2,Pases_realizados_E2,Pases_cortos_completados_E2,Pases_media_distancia_completados_E2,Pases_en_largo_completados_E2,Pases_completados_atras_E2,Pases_completadosa_izquierda_E2,Pases_completados_derecha_E2,Libres_directos_sacados_E2,Centros__tercio_ofensivo_E2,Pases_zonas_clave_E2,Pases_al_area_E2,Precision_en_el_centro_E2,Centros_completados_E2,Centros_realizados_E2,Tiempo_de_posesion_E2,Balones_recuperados_E2,Bloqueos_E2,Penaltis_cometidos_E2,Entradas_E2,Entradas_con_exito_E2,Entradas_perdidas_E2,Despejes_completados_E2,Despejes_realizados_E2,goles_encajados_E2,Goles_encajados_propia_puerta_E2,Porterias_a_cero_E2,Paradas_E2,Paradas_en_libres_directo_E2,Paradas-tras_libre_indirecto_E2,Penaltis_parados_E2,Balones_blocados_E2,Balones_blocados_por arriba_E2,Balones_blocados_por_abajo_E2,Despejes_de_puños_E2,Tarjetas_amarillas_E2,Tarjetas_rojas_E2,Faltas_cometidas_E2,Faltas_cometidas_tercio_def_E2,Faltas_cometidas_en_campo_propio_E2,media11_titular_E1,media11_titular_E2,Torneo,Confederacion_E1,Confederacion_E2
SEL-WORLD_CUP-2022-10230541,Ronda 1,2022-11-20,Catar,1,Ecuador,0,2,,,5,0,5,0,0,,,,,,,,,,1.0,1,3.0,10,36,,2,47,80.9,351,434,,,19,,,,15,,,,37.5,3,8,,2,,,10,7,3,,18,2,,0,1.0,,,,,0.0,,2.0,4.0,,15,,,,,6,3,3,0,0,,,,,,,,,,1.0,3,4.0,9,46,,16,53,84.8,412,486,,,24,,,,14,,,,28.6,4,14,,12,,,15,7,8,,6,0,,1,0.0,,,,,1.0,,0.0,2.0,,15,,,6.42,7.18,FIFA World Cup,AFC,CONMEBOL
SEL-WORLD_CUP-2022-10230543,Ronda 1,2022-11-21,Inglaterra,1,Irán,6,2,,,13,7,2,4,1,,,,,,,,,,3.0,8,2.0,13,69,,25,78,89.8,716,797,,,45,,,,14,,,,28.6,6,21,,7,,,13,10,3,,4,2,,0,1.0,,,,,0.0,,0.0,0.0,,9,,,,,8,3,4,1,1,,,,,,,,,,2.0,0,2.0,1,23,,11,22,66.0,142,215,,,12,,,,8,,,,,0,8,,16,,,12,9,3,,23,6,,0,1.0,,,,,1.0,,1.0,2.0,,14,,,7.43,6.35,FIFA World Cup,UEFA,AFC
SEL-WORLD_CUP-2022-10230533,Ronda 1,2022-11-21,Senegal,1,Países Bajos,0,2,,,15,4,7,4,0,,,,,,,,,,0.0,6,2.0,4,46,,23,47,79.7,307,385,,,26,,,,13,,,,42.1,8,19,,10,,,14,12,2,,32,2,,0,1.0,,,,,2.0,,1.0,2.0,,13,,,,,10,3,4,3,0,,,,,,,,,,2.0,7,1.0,4,55,,19,53,81.4,355,436,,,16,,,,13,,,,28.0,7,25,,6,,,10,6,4,,14,0,,1,4.0,,,,,1.0,,0.0,1.0,,13,,,6.91,7.15,FIFA World Cup,CAF,UEFA
SEL-WORLD_CUP-2022-10230548,Ronda 1,2022-11-21,USA,1,Gales,1,1,,,6,1,4,1,1,,,,,,,,,,2.0,5,1.0,3,49,,20,59,87.3,495,567,,,24,,,,10,,,,13.3,4,30,,6,,,14,12,2,,18,1,,0,2.0,,,,,2.0,,0.0,4.0,,15,,,,,7,3,3,1,0,,,,,,,,,,3.0,3,1.0,3,51,,18,41,76.4,308,403,,,39,,,,14,,,,35.7,5,14,,8,,,18,14,4,,29,1,,0,1.0,,,,,1.0,,2.0,2.0,,10,,,6.95,6.95,FIFA World Cup,CONCACAF,UEFA
SEL-WORLD_CUP-2022-10230528,Ronda 1,2022-11-22,Argentina,1,Arabia Saudita,1,2,,,15,6,6,3,0,,,,,,,,,,2.0,9,10.0,6,50,,29,69,85.2,508,596,,,17,,,,20,,,,39.1,9,23,,9,,,17,7,10,,9,2,,0,0.0,,,,,1.0,,0.0,0.0,,7,,,,,3,2,0,1,0,,,,,,,,,,0.0,2,1.0,3,37,,18,31,68.0,181,266,,,16,,,,7,,,,20.0,2,10,,14,,,18,7,11,,27,1,,0,5.0,,,,,1.0,,1.0,6.0,,21,,,6.86,6.84,FIFA World Cup,CONMEBOL,AFC
SEL-WORLD_CUP-2022-10230576,Ronda 1,2022-11-22,Dinamarca,1,Túnez,0,0,,,11,5,3,3,1,,,,,,,,,,1.0,11,1.0,1,74,,27,61,84.2,501,595,,,35,,,,10,,,,32.0,8,25,,11,,,12,6,6,,11,0,,1,1.0,,,,,,,1.0,2.0,,9,,,,,13,1,5,7,0,,,,,,,,,,1.0,9,1.0,7,47,,14,39,74.9,280,374,,,20,,,,9,,,,30.8,4,13,,8,,,24,16,8,,37,0,,1,5.0,,,,,,,0.0,1.0,,10,,,7.05,7.13,FIFA World Cup,UEFA,CAF
SEL-WORLD_CUP-2022-10230565,Ronda 1,2022-11-22,México,1,Polonia,0,0,,,11,4,4,3,0,,,,,,,,,,1.0,6,3.0,9,59,,18,61,83.6,407,487,,,25,,,,15,,,,21.2,7,33,,5,,,16,9,7,,17,0,,1,2.0,,,1.0,,0.0,,0.0,2.0,,14,,,,,6,2,3,1,0,,,,,,,,,,1.0,5,0.0,7,59,,14,39,70.8,228,322,,,30,,,,13,,,,20.0,3,15,,8,,,17,6,11,,23,0,,1,4.0,,,0.0,,1.0,,1.0,1.0,,15,,,7.12,6.98,FIFA World Cup,CONCACAF,UEFA
SEL-WORLD_CUP-2022-10230563,Ronda 1,2022-11-22,Francia,1,Australia,4,1,,,23,7,10,6,0,,,,,,,,,,8.0,8,,8,87,,44,62,89.3,646,723,,,30,,,,11,,,,51.9,14,27,,12,,,20,14,6,,6,1,,0,0.0,,,,,,,,0.0,,5,,,,,4,1,3,0,1,,,,,,,,,,1.0,1,,3,39,,7,38,83.6,368,440,,,20,,,,5,,,,16.7,1,6,,9,,,13,7,6,,22,4,,0,2.0,,,,,,,,3.0,,11,,,7.62,6.39,FIFA World Cup,UEFA,AFC
SEL-WORLD_CUP-2022-10230570,Ronda 1,2022-11-23,Marruecos,1,Croacia,0,0,,,8,2,0,6,0,,,,,,,,,,0.0,0,0.0,2,38,,11,35,78.4,273,348,,,16,,,,11,,,,12.5,1,8,,13,,,21,10,11,,20,0,,1,1.0,,,,,3.0,,,1.0,,16,,,,,5,2,2,1,0,,,,,,,,,,1.0,5,1.0,5,51,,17,65,85.8,551,642,,,25,,,,16,,,,22.2,4,18,,10,,,17,10,7,,10,0,,1,2.0,,,,,2.0,,,0.0,,11,,,7.05,7.07,FIFA World Cup,CAF,UEFA
SEL-WORLD_CUP-2022-10230562,Ronda 1,2022-11-23,Alemania,1,Japón,1,2,,,26,9,11,6,2,,,,,,,,,,5.0,6,4.0,3,63,,49,74,89.0,686,771,,,28,,,,13,,,,32.0,8,25,,3,,,11,9,2,,3,2,,0,2.0,,,,,,,0.0,,,6,,,,,12,4,4,4,0,,,,,,,,,,3.0,6,4.0,3,34,,21,26,70.6,190,269,,,21,,,,6,,,,36.4,4,11,,6,,,29,17,12,,38,1,,0,8.0,,,,,,,2.0,,,14,,,7.21,6.95,FIFA World Cup,UEFA,AFC
SEL-WORLD_CUP-2022-10230571,Ronda 1,2022-11-23,España,1,Costa Rica,7,0,,,17,8,7,2,0,,,,,,,,,,5.0,5,3.0,4,89,,25,82,93.6,978,1045,,,35,,,,11,,,,13.3,2,15,,4,,,14,7,7,,4,0,,1,0.0,,,,,1.0,,0.0,0.0,,8,,,,,0,0,0,0,0,,,,,,,,,,0.0,0,7.0,2,33,,4,18,71.7,165,230,,,20,,,,8,,,,25.0,1,4,,14,,,21,15,6,,17,7,,0,1.0,,,,,0.0,,1.0,2.0,,12,,,7.65,6.0,FIFA World Cup,UEFA,CONCACAF
