Mercado,Modelo,Accuracy,AUC,Baseline,Ganancia
Resultado_1X2,RF,62.3,0.664,58.0,4.3
Resultado_1X2,GB,60.4,0.62,58.0,2.3
Resultado_1X2,LR,61.8,0.66,58.0,3.7
Over_2.5_Goles,RF,46.8,0.484,56.4,-9.6
Over_2.5_Goles,GB,48.2,0.489,56.4,-8.2
Over_2.5_Goles,LR,49.1,0.512,56.4,-7.3
BTTS,RF,53.9,0.505,56.9,-3.0
BTTS,GB,52.6,0.503,56.9,-4.2
BTTS,LR,50.5,0.524,56.9,-6.3
Corners_Over_9.5,RF,52.5,0.509,57.3,-4.8
Corners_Over_9.5,GB,51.2,0.488,57.3,-6.1
Corners_Over_9.5,LR,49.1,0.469,57.3,-8.2
Corners_Over_10.5,RF,53.2,0.516,54.4,-1.2
Corners_Over_10.5,GB,52.8,0.495,54.4,-1.6
Corners_Over_10.5,LR,56.1,0.465,54.4,1.8
Amarillas_Over_3.5,RF,55.1,0.534,58.3,-3.2
Amarillas_Over_3.5,GB,51.4,0.514,58.3,-6.9
Amarillas_Over_3.5,LR,51.8,0.529,58.3,-6.6
Amarillas_Over_4.5,RF,59.1,0.531,62.2,-3.1
Amarillas_Over_4.5,GB,58.9,0.523,62.2,-3.3
Amarillas_Over_4.5,LR,64.9,0.532,62.2,2.7
